date,jcd,r,r1,r2,r3,3rt
20260706,01,1,1,3,4,7430
20260706,01,2,6,3,5,80150
20260706,01,3,4,5,6,1430
20260706,01,4,1,2,3,730
20260706,01,5,5,6,3,7620
20260706,01,6,1,5,6,1430
20260706,01,7,1,2,3,2570
20260706,01,8,5,1,2,1030
20260706,01,9,1,4,2,1410
20260706,01,10,1,3,5,1700
20260706,01,11,6,2,1,17840
20260706,01,12,1,4,3,2070
20260706,04,1,3,1,2,2650
20260706,04,2,1,3,2,1260
20260706,04,3,2,1,5,4220
20260706,04,4,1,2,5,680
20260706,04,5,1,2,6,2130
20260706,04,6,1,5,3,1190
20260706,04,7,3,6,4,9300
20260706,04,8,1,2,4,600
20260706,04,9,1,5,6,3770
20260706,04,10,2,5,1,23250
20260706,04,11,1,2,4,560
20260706,04,12,1,3,2,1130
20260706,05,1,4,1,3,14860
20260706,05,2,1,2,6,6730
20260706,05,3,1,3,2,710
20260706,05,4,3,1,2,1060
20260706,05,5,5,3,4,14600
20260706,05,6,3,1,2,4150
20260706,05,7,4,2,6,6680
20260706,05,8,1,2,4,600
20260706,05,9,1,3,4,1600
20260706,05,10,3,5,1,11830
20260706,05,11,1,5,4,4880
20260706,05,12,1,3,5,1750
20260706,07,1,5,1,6,7380
20260706,07,2,4,3,6,5820
20260706,07,3,4,1,6,2210
20260706,07,4,2,1,5,1630
20260706,07,5,5,2,6,2560
20260706,07,6,1,2,3,150
20260706,07,7,1,2,3,960
20260706,07,8,1,4,6,1920
20260706,07,9,1,3,2,710
20260706,07,10,1,3,6,1770
20260706,07,11,1,6,3,5270
20260706,07,12,1,4,2,2360
20260706,09,1,1,3,6,420
20260706,09,2,5,3,2,13770
20260706,09,3,5,2,1,11440
20260706,09,4,1,3,5,1150
20260706,09,5,2,4,3,40680
20260706,09,6,1,2,4,1740
20260706,09,7,5,6,3,4440
20260706,09,8,3,1,5,16580
20260706,09,9,1,2,3,420
20260706,09,10,1,2,6,2130
20260706,09,11,3,4,2,12090
20260706,09,12,1,2,3,750
20260706,12,1,2,1,3,3780
20260706,12,2,4,5,2,3300
20260706,12,3,2,4,3,1960
20260706,12,4,3,4,1,1810
20260706,12,5,1,4,5,4790
20260706,12,6,3,1,5,1550
20260706,12,7,2,1,3,750
20260706,12,8,4,5,2,9340
20260706,12,9,1,4,6,2500
20260706,12,10,5,1,3,38030
20260706,12,11,5,1,4,6560
20260706,12,12,1,3,5,6800
20260706,13,1,1,3,5,810
20260706,13,2,2,5,3,4490
20260706,13,3,6,1,4,7590
20260706,13,4,1,2,6,880
20260706,13,5,6,2,4,1490
20260706,13,6,1,4,6,3100
20260706,13,7,1,6,2,1560
20260706,13,8,1,6,2,470
20260706,13,9,1,6,2,860
20260706,13,10,1,5,6,2960
20260706,13,11,1,6,4,22010
20260706,13,12,1,3,6,2550
20260706,18,1,1,2,3,900
20260706,18,2,1,3,4,630
20260706,18,3,1,2,4,650
20260706,18,4,2,1,4,1980
20260706,18,5,1,6,3,1740
20260706,18,6,1,2,5,1190
20260706,18,7,1,3,4,1550
20260706,18,8,1,4,6,1480
20260706,18,9,1,4,5,1430
20260706,18,10,2,3,6,690
20260706,18,11,2,3,5,730
20260706,18,12,1,2,4,580
20260706,21,1,4,1,5,18080
20260706,21,2,3,5,4,38070
20260706,21,3,1,2,5,800
20260706,21,4,1,4,3,900
20260706,21,5,6,4,2,319360
20260706,21,6,3,6,2,9320
20260706,21,7,1,5,6,11160
20260706,21,8,4,6,2,22670
20260706,21,9,1,2,4,1010
20260706,21,10,1,3,2,860
20260706,21,11,1,2,4,510
20260706,21,12,3,2,1,28270
20260706,22,1,1,4,2,1150
20260706,22,2,3,1,4,2450
20260706,22,3,4,5,3,23570
20260706,22,4,2,1,3,1580
20260706,22,5,1,3,4,2250
20260706,22,6,1,2,6,980
20260706,22,7,1,2,4,530
20260706,22,8,1,3,4,710
20260706,22,9,1,5,4,4910
20260706,22,10,1,4,2,2440
20260706,22,11,3,4,2,6730
20260706,22,12,1,2,3,490
20260706,24,1,3,1,4,1410
20260706,24,2,4,2,1,5250
20260706,24,3,2,1,4,2850
20260706,24,4,3,1,2,1520
20260706,24,5,1,2,6,1470
20260706,24,6,2,4,5,1780
20260706,24,7,1,3,5,2170
20260706,24,8,1,4,5,970
20260706,24,9,1,3,6,900
20260706,24,10,1,4,3,660
20260706,24,11,6,3,1,124530
20260706,24,12,1,6,4,3260
