date,jcd,r,r1,r2,r3,3rt,決まり手,天候,風速,波高,水温,気温,単勝_払戻,複勝1_払戻,3連単_払戻,3連複_払戻,2連単_払戻,2連複_払戻,着順1,ST1,着順2,ST2,着順6,ST6,着順3,ST3,着順4,ST4,着順5,ST5
20260915,22,1,1,2,6,2110,逃げ,晴,3,3,,,,,2110,1940,190,230,01,0.22,02,0.23,03,0.29,04,0.21,05,0.27,06,0.28
20260915,22,2,2,1,3,3820,差し,晴,3,3,,,,,3820,360,2440,700,02,0.13,01,0.15,06,0.32,03,0.10,04,0.16,05,0.15
20260915,22,3,1,3,2,930,逃げ,晴,3,3,,,,,930,250,410,290,01,0.17,03,0.17,06,0.26,02,0.17,04,0.17,05,0.19
20260915,22,4,3,6,2,2550,まくり,晴,4,4,,,,,2550,650,1320,860,04,0.12,03,0.19,02,0.20,01,0.09,05,0.11,06,0.18
20260915,22,5,1,3,2,2080,逃げ,晴,4,4,,,,,2080,720,910,420,01,0.08,03,0.10,06,0.27,02,0.16,05,0.27,04,0.26
20260915,22,6,1,6,3,1840,逃げ,晴,4,4,,,,,1840,490,580,480,01,0.12,06,0.15,02,0.23,03,0.21,05,0.31,04,0.18
20260915,22,7,1,3,2,590,逃げ,晴,4,4,,,,,590,250,290,230,01,0.16,03,0.24,04,0.20,02,0.23,05,0.24,06,0.25
20260915,22,8,1,2,3,470,逃げ,晴,4,4,,,,,470,110,330,120,01,0.11,02,0.14,06,0.20,03,0.13,04,0.15,05,0.18
20260915,22,9,1,5,2,1050,逃げ,晴,4,4,,,,,1050,420,370,320,01,0.21,03,0.19,05,0.19,04,0.14,06,0.14,02,0.11
20260915,22,10,1,2,3,480,逃げ,晴,4,4,,,,,480,320,160,150,01,0.17,02,0.20,06,0.19,03,0.20,05,0.23,04,0.22
20260915,22,11,3,1,4,6420,まくり差し,晴,4,4,,,,,6420,550,1690,420,02,0.12,05,0.18,06,0.16,01,0.16,03,0.17,04,0.10
20260915,22,12,1,4,3,1510,逃げ,晴,4,4,,,,,1510,370,590,400,01,0.21,05,0.25,04,0.28,03,0.27,02,0.25,06,0.25
20260915,20,1,2,5,4,2230,恵まれ,晴,3,3,,,,,2230,470,690,420,F,F0.03,01,0.01,04,0.31,05,0.00,03,0.15,02,0.22
20260915,20,2,2,1,3,4280,差し,晴,3,3,,,,,4280,550,2220,350,02,0.11,01,0.08,05,0.15,03,0.10,04,0.14,06,0.14
20260915,20,3,4,3,6,7640,差し,晴,5,5,,,,,7640,940,3680,1050,05,0.11,04,0.04,03,0.02,02,0.04,01,0.02,06,0.01
20260915,20,4,1,3,2,940,逃げ,晴,5,5,,,,,940,360,470,340,01,0.16,03,0.16,05,0.12,02,0.16,06,0.17,04,0.12
20260915,20,5,2,1,4,1560,まくり,晴,5,5,,,,,1560,200,1310,230,02,0.13,01,0.16,06,0.29,04,0.19,03,0.29,05,0.36
20260915,20,6,1,5,6,11200,逃げ,晴,5,5,,,,,11200,3760,1520,1080,01,0.14,04,0.16,03,0.12,06,0.14,05,0.14,02,0.09
20260915,20,7,2,1,3,2140,差し,晴,5,5,,,,,2140,190,1120,170,02,0.17,01,0.15,05,0.19,03,0.14,04,0.18,06,0.22
20260915,20,8,4,2,3,38630,まくり差し,晴,3,3,,,,,38630,4650,6200,3740,S0,0.15,02,0.20,05,0.22,03,0.21,01,0.20,04,0.22
20260915,20,9,1,3,6,1630,逃げ,晴,3,3,,,,,1630,630,500,440,01,0.15,04,0.09,03,0.09,02,0.11,05,0.13,06,0.14
20260915,20,10,1,2,4,1790,逃げ,晴,3,3,,,,,1790,1030,320,300,01,0.11,02,0.17,06,0.19,05,0.19,03,0.23,04,0.21
20260915,20,11,1,3,6,1050,逃げ,晴,3,3,,,,,1050,640,280,210,01,0.17,K0,K .,03,0.19,02,0.19,04,0.17,05,0.19
20260915,20,12,1,2,3,560,逃げ,晴,2,2,,,,,560,250,240,240,01,0.06,02,0.14,06,0.18,03,0.16,05,0.18,04,0.18
20260915,19,1,1,6,2,12430,逃げ,晴,5,5,,,,,12430,1570,2600,3130,01,0.15,03,0.15,02,0.13,05,0.15,04,0.17,06,0.18
20260915,19,2,6,5,2,16630,差し,晴,5,5,,,,,16630,3210,3740,890,04,0.25,03,0.27,01,0.28,05,0.27,06,0.30,02,0.23
