date,jcd,r,r1,r2,r3,3rt
20260718,01,1,3,1,5,1790
20260718,01,2,1,6,5,6270
20260718,01,3,1,5,6,1950
20260718,01,4,3,2,4,5360
20260718,01,5,1,2,6,2240
20260718,01,6,1,2,3,790
20260718,01,7,1,3,4,710
20260718,01,8,1,2,3,1270
20260718,01,9,1,2,4,900
20260718,01,10,1,4,2,1670
20260718,01,11,1,3,2,1190
20260718,01,12,3,1,6,7640
20260718,02,1,1,4,6,3220
20260718,02,2,4,1,2,1060
20260718,02,3,3,6,4,40480
20260718,02,4,4,5,2,9190
20260718,02,5,4,5,3,2970
20260718,02,6,1,5,2,840
20260718,02,7,1,2,5,760
20260718,02,8,4,5,1,8590
20260718,02,9,2,3,5,3790
20260718,02,10,1,2,5,570
20260718,02,11,2,1,4,4070
20260718,02,12,1,3,2,4040
20260718,04,1,1,6,2,5830
20260718,04,2,1,3,4,1410
20260718,04,3,3,1,2,3410
20260718,04,4,2,5,3,4630
20260718,04,5,1,3,2,1420
20260718,04,6,3,1,5,9400
20260718,04,7,3,1,4,860
20260718,04,8,1,4,3,710
20260718,04,9,1,4,2,2420
20260718,04,10,2,1,3,3310
20260718,04,11,1,3,2,2020
20260718,04,12,5,1,3,22030
20260718,07,1,2,6,1,90330
20260718,07,2,3,5,4,21380
20260718,07,3,2,1,3,8930
20260718,07,4,1,5,4,1580
20260718,07,5,1,4,3,1030
20260718,07,6,1,2,5,1480
20260718,07,7,1,4,2,2900
20260718,07,8,1,2,5,860
20260718,07,9,1,5,4,3740
20260718,07,10,1,3,5,2240
20260718,07,11,1,2,6,2280
20260718,07,12,6,5,4,65350
20260718,08,1,1,3,2,660
20260718,08,2,1,5,2,620
20260718,08,3,4,2,3,1550
20260718,08,4,4,1,6,13810
20260718,08,5,2,1,6,6070
20260718,08,6,2,5,1,57910
20260718,08,7,1,3,5,2690
20260718,08,8,1,6,4,7280
20260718,08,9,3,4,5,6620
20260718,08,10,2,1,3,2630
20260718,08,11,1,4,5,2980
20260718,08,12,1,3,2,750
20260718,09,1,2,4,1,3110
20260718,09,2,4,1,2,4450
20260718,09,3,2,4,3,3730
20260718,09,4,1,4,2,1660
20260718,09,5,2,1,4,1910
20260718,09,6,5,3,2,12870
20260718,09,7,1,2,3,1760
20260718,09,8,1,2,5,1360
20260718,09,9,1,3,5,5900
20260718,09,11,1,4,2,1410
20260718,09,12,1,4,2,1080
20260718,10,1,1,4,2,1790
20260718,10,2,5,1,2,12210
20260718,10,3,1,3,5,1370
20260718,10,4,1,2,4,860
20260718,10,5,4,2,6,8660
20260718,10,6,1,2,5,1700
20260718,10,7,5,3,1,6770
20260718,10,8,3,1,6,1380
20260718,10,9,3,2,1,3830
20260718,10,10,3,1,5,1220
20260718,10,11,1,5,3,4220
20260718,10,12,2,5,4,38030
20260718,11,1,3,2,1,8080
20260718,11,2,1,3,2,2240
20260718,11,3,2,1,6,6130
20260718,11,4,3,4,2,6130
20260718,11,5,1,2,3,410
20260718,11,6,1,5,4,5780
20260718,11,7,1,3,2,2910
20260718,11,8,5,6,2,5210
20260718,11,9,1,5,2,1870
20260718,11,10,1,3,6,840
20260718,11,11,3,4,5,44650
20260718,11,12,1,2,3,1540
20260718,12,1,2,3,1,2500
20260718,12,2,1,4,5,2080
20260718,12,3,1,4,5,1830
20260718,12,4,3,1,5,1040
20260718,12,5,1,3,6,740
20260718,12,6,1,4,2,4700
20260718,12,7,3,1,5,11700
20260718,12,8,4,1,5,1710
