date,jcd,r,r1,r2,r3,3rt,決まり手,天候,風速,波高,水温,気温,単勝_払戻,複勝1_払戻,3連単_払戻,3連複_払戻,2連単_払戻,2連複_払戻,着順1,ST1,着順3,ST3,着順5,ST5,着順4,ST4,着順2,ST2,着順6,ST6
20260924,22,1,1,3,5,2550,逃げ,晴,2,2,,,,,2550,1480,760,710,01,0.15,02,0.28,03,0.20,04,0.16,05,0.16,06,0.23
20260924,22,2,5,4,1,17770,まくり,晴,3,3,,,,,17770,1430,1730,2610,03,0.37,05,0.39,01,0.23,02,0.25,06,0.51,04,0.20
20260924,22,3,1,4,3,2250,逃げ,晴,3,3,,,,,2250,490,1240,790,01,0.15,03,0.25,04,0.13,02,0.15,05,0.16,06,0.38
20260924,22,4,5,1,2,9090,抜き,晴,3,3,,,,,9090,270,3630,1040,02,0.16,05,0.09,01,0.07,04,0.07,03,0.10,06,0.16
20260924,22,5,6,3,1,5410,まくり差し,晴,3,3,,,,,5410,300,2740,1310,03,0.18,02,0.18,06,0.16,05,0.21,04,0.15,01,0.12
20260924,22,6,2,1,4,3130,差し,晴,3,3,,,,,3130,830,620,250,02,0.07,04,0.10,06,0.10,03,0.08,01,0.09,05,0.08
20260924,22,7,1,3,2,1060,抜き,晴,3,3,,,,,1060,420,370,430,01,0.14,02,0.16,06,0.20,04,0.19,03,0.17,05,0.16
20260924,22,8,1,3,2,2470,逃げ,晴,3,3,,,,,2470,870,840,610,01,0.19,02,0.19,05,0.24,04,0.27,03,0.18,06,0.27
20260924,22,9,1,2,3,880,抜き,晴,3,3,,,,,880,500,440,200,01,0.17,03,0.17,05,0.12,06,0.13,02,0.21,04,0.15
20260924,22,10,1,2,6,3110,逃げ,晴,3,3,,,,,3110,2040,420,280,01,0.14,06,0.19,05,0.25,04,0.28,02,0.15,03,0.26
20260924,22,11,1,4,6,3280,逃げ,晴,3,3,,,,,3280,1320,280,310,01,0.13,06,0.11,04,0.17,02,0.15,05,0.11,03,0.11
20260924,22,12,1,2,5,1630,逃げ,晴,3,3,,,,,1630,850,240,190,01,0.08,04,0.03,03,0.09,05,0.11,02,0.06,06,0.08
20260924,21,1,1,3,4,780,逃げ,晴,1,1,,,,,780,390,230,200,01,0.14,02,0.11,05,0.16,03,0.15,04,0.13,06,0.24
20260924,21,2,4,1,5,1730,抜き,晴,1,1,,,,,1730,720,510,170,02,0.16,06,0.23,03,0.16,01,0.13,04,0.21,05,0.15
20260924,21,3,1,2,3,7860,逃げ,晴,1,1,,,,,7860,910,2340,3660,01,0.06,03,0.16,05,0.03,04,0.13,02,0.13,06,0.06
20260924,21,4,1,2,3,430,逃げ,晴,2,2,,,,,430,240,240,170,01,0.12,03,0.12,06,0.06,04,0.10,02,0.14,05,0.11
20260924,21,5,1,5,3,5140,抜き,晴,2,2,,,,,5140,1410,2040,1500,01,0.13,03,0.11,02,0.09,06,0.05,05,0.19,04,0.11
20260924,21,6,2,4,6,6980,まくり,晴,2,2,,,,,6980,1130,2340,2920,05,0.22,04,0.12,06,0.22,02,0.09,01,0.12,03,0.20
20260924,21,7,1,2,4,710,逃げ,晴,2,2,,,,,710,290,290,220,01,0.04,06,0.03,05,0.10,03,0.06,02,0.17,04,0.06
20260924,21,8,2,4,1,850,まくり,晴,1,1,,,,,850,200,430,250,03,0.16,04,0.13,06,0.16,02,0.18,01,0.13,05,0.19
20260924,21,9,6,5,1,30210,まくり差し,晴,2,2,,,,,30210,1140,12760,3160,03,0.11,04,0.23,02,0.02,06,0.19,05,0.13,01,0.08
20260924,21,10,2,3,6,7570,まくり,晴,2,2,,,,,7570,3060,1310,2040,05,0.17,02,0.11,04,0.13,06,0.21,01,0.12,03,0.17
20260924,21,11,1,4,2,1210,逃げ,晴,2,2,,,,,1210,190,560,420,01,0.10,05,0.08,06,0.17,02,0.12,03,0.08,04,0.17
20260924,21,12,1,2,4,670,逃げ,晴,2,2,,,,,670,370,240,170,01,0.28,06,0.23,04,0.13,03,0.17,02,0.31,05,0.09
20260924,20,1,1,6,4,10530,逃げ,晴,2,2,,,,,10530,2410,2410,1940,01,0.11,04,0.15,05,0.21,03,0.12,06,0.15,02,0.15
20260924,20,2,1,4,5,7090,逃げ,晴,2,2,,,,,7090,2730,1400,850,01,0.06,05,0.03,03,0.15,02,0.11,04,0.08,06,0.16
20260924,20,3,1,2,5,1460,逃げ,晴,2,2,,,,,1460,660,440,430,01,0.05,04,0.11,03,0.16,05,0.15,02,0.08,06,0.16
20260924,20,4,3,1,4,2650,まくり,晴,1,1,,,,,2650,520,650,220,02,0.08,01,0.07,04,0.13,03,0.11,06,0.15,05,0.09
20260924,20,5,3,4,6,28980,まくり,晴,2,2,,,,,28980,4760,4780,2690,04,0.11,01,0.09,06,0.11,02,0.11,05,0.27,03,0.11
20260924,20,6,2,1,4,2430,まくり差し,晴,1,1,,,,,2430,710,680,170,02,0.07,06,0.32,04,0.16,03,0.21,01,0.15,05,0.17
