date,jcd,r,r1,r2,r3,3rt,決まり手,天候,風速,波高,水温,気温,単勝_払戻,複勝1_払戻,3連単_払戻,3連複_払戻,2連単_払戻,2連複_払戻,着順1,ST1,着順2,ST2,着順5,ST5,着順4,ST4,着順6,ST6,着順3,ST3
20260824,22,1,1,2,5,1380,逃げ,晴,3,3,,,,,1380,1130,330,230,01,0.23,02,0.27,03,0.24,04,0.28,05,0.26,06,0.22
20260824,22,2,1,4,5,1710,逃げ,晴,3,3,,,,,1710,660,870,610,01,0.12,04,0.18,03,0.16,02,0.12,06,0.08,05,0.19
20260824,22,3,3,1,4,850,まくり差し,晴,3,3,,,,,850,220,450,170,02,0.10,04,0.13,06,0.11,03,0.12,05,0.08,01,0.11
20260824,22,4,1,2,3,1330,逃げ,晴,3,3,,,,,1330,400,770,400,01,0.12,02,0.13,05,0.18,04,0.20,06,0.19,03,0.13
20260824,22,5,1,6,5,6260,逃げ,晴,3,3,,,,,6260,2850,1820,910,01,0.11,05,0.13,03,0.24,06,0.27,02,0.31,04,0.17
20260824,22,6,3,1,5,3690,まくり差し,晴,3,3,,,,,3690,190,1570,500,02,0.31,04,0.37,03,0.34,06,0.24,05,0.37,01,0.35
20260824,22,7,1,2,4,2550,逃げ,晴,3,3,,,,,2550,1340,980,750,01,0.20,02,0.19,04,0.26,03,0.26,05,0.20,06,0.22
20260824,22,8,3,1,5,6270,まくり,晴,3,3,,,,,6270,1140,880,240,02,0.18,05,0.18,03,0.21,04,0.15,06,0.18,01,0.16
20260824,22,9,3,1,6,2630,差し,晴,3,3,,,,,2630,430,990,130,02,0.24,04,0.15,05,0.05,06,0.12,03,0.05,01,0.09
20260824,22,10,1,3,4,790,逃げ,晴,3,3,,,,,790,390,380,180,01,0.14,06,0.17,04,0.25,03,0.22,05,0.25,02,0.17
20260824,22,11,6,1,2,12780,まくり,晴,3,3,,,,,12780,400,5910,670,02,0.09,03,0.13,04,0.14,05,0.14,01,0.06,06,0.16
20260824,22,12,1,3,5,2100,逃げ,晴,3,3,,,,,2100,1090,300,220,01,0.21,04,0.24,03,0.39,06,0.28,05,0.45,02,0.24
20260824,21,1,1,2,3,1100,逃げ,晴,1,1,,,,,1100,420,390,320,01,0.14,02,0.14,06,0.06,04,0.06,05,0.03,03,0.07
20260824,21,2,1,2,4,2880,逃げ,晴,0,1,,,,,2880,510,1430,1530,01,0.19,02,0.19,05,0.16,03,0.19,06,0.15,04,0.16
20260824,21,3,1,3,5,590,逃げ,晴,1,1,,,,,590,230,210,260,01,0.14,05,0.13,03,0.10,04,0.16,06,0.14,02,0.11
20260824,21,4,1,3,4,610,抜き,晴,1,1,,,,,610,190,390,490,01,0.09,04,0.11,05,0.04,03,0.03,06,0.06,02,0.05
20260824,21,5,1,5,3,3120,逃げ,晴,1,1,,,,,3120,490,1550,1730,01,0.13,06,0.04,02,0.07,05,0.12,04,0.07,03,0.27
20260824,21,6,1,4,3,2450,逃げ,晴,3,3,,,,,2450,590,870,850,01,0.12,05,0.21,04,0.07,02,0.06,06,0.11,03,0.12
20260824,21,7,2,5,4,28160,差し,晴,2,2,,,,,28160,2040,7320,3490,04,0.16,01,0.10,02,0.11,03,0.09,06,0.16,05,0.09
20260824,21,8,3,6,1,2990,抜き,晴,3,3,,,,,2990,420,920,500,03,0.32,05,0.22,04,0.23,06,0.22,02,0.20,01,0.16
20260824,21,9,1,3,5,1520,逃げ,晴,4,4,,,,,1520,690,760,720,01,0.14,04,0.15,03,0.10,05,0.14,06,0.21,02,0.08
20260824,21,10,1,4,2,1940,逃げ,晴,4,4,,,,,1940,690,670,560,01,0.09,03,0.14,05,0.12,02,0.11,04,0.21,06,0.18
20260824,21,11,1,5,3,3010,逃げ,晴,4,4,,,,,3010,600,1520,1350,01,0.02,06,0.05,02,0.02,04,0.05,05,0.09,03,0.03
20260824,21,12,1,4,2,1270,逃げ,晴,3,3,,,,,1270,360,380,580,01,0.02,03,0.02,05,0.07,02,0.04,06,0.09,04,0.04
20260824,20,1,2,1,3,1910,まくり,晴,3,3,,,,,1910,200,670,300,02,0.11,01,0.08,05,0.16,06,0.15,04,0.16,03,0.09
20260824,20,2,1,4,6,7300,逃げ,晴,3,3,,,,,7300,2190,1710,580,01,0.11,04,0.08,05,0.11,02,0.07,03,0.17,06,0.06
20260824,20,3,3,1,6,1110,抜き,晴,3,3,,,,,1110,330,360,310,02,0.26,04,0.21,05,0.15,06,0.14,03,0.16,01,0.23
20260824,20,4,3,5,4,38690,まくり差し,晴,2,2,,,,,38690,11190,6870,2810,04,0.31,05,0.13,02,0.16,03,0.21,06,0.14,01,0.22
20260824,20,5,2,4,3,7000,差し,晴,2,2,,,,,7000,1630,1870,980,04,0.16,01,0.15,05,0.12,02,0.18,06,0.22,03,0.19
20260824,20,6,1,3,4,1410,逃げ,晴,2,2,,,,,1410,460,500,200,01,0.12,05,0.13,06,0.17,03,0.13,04,0.31,02,0.12
20260824,20,7,1,6,4,10750,逃げ,晴,2,2,,,,,10750,940,5860,3220,01,0.13,04,0.13,06,0.17,03,0.15,02,0.19,05,0.16
20260824,20,8,1,2,3,710,逃げ,晴,2,2,,,,,710,230,280,350,01,0.13,02,0.19,04,0.10,05,0.08,06,0.13,03,0.13
20260824,20,9,6,4,2,6600,まくり差し,晴,3,3,,,,,6600,1120,2550,610,S0,0.16,03,0.15,05,0.21,02,0.15,01,0.14,04,0.19
20260824,20,10,1,3,6,780,逃げ,晴,3,3,,,,,780,430,260,210,01,0.11,06,0.15,04,0.17,05,0.18,03,0.19,02,0.13
20260824,20,11,1,4,5,1810,逃げ,晴,4,4,,,,,1810,840,540,610,01,0.18,06,0.23,03,0.28,02,0.19,05,0.26,04,0.21
20260824,20,12,1,3,2,920,抜き,晴,3,3,,,,,920,330,260,210,01,0.13,03,0.19,04,0.10,06,0.22,05,0.09,02,0.20
20260824,19,1,1,2,3,600,逃げ,晴,2,2,,,,,600,260,310,220,01,0.11,02,0.16,05,0.15,04,0.09,06,0.18,03,0.09
20260824,19,2,1,4,2,1190,逃げ,晴,2,2,,,,,1190,460,380,300,01,0.11,03,0.13,05,0.24,02,0.23,06,0.23,04,0.16
20260824,19,3,6,1,3,1280,まくり,晴,2,2,,,,,1280,250,460,190,02,0.16,04,0.33,06,0.12,05,0.09,01,0.11,03,0.08
20260824,19,4,1,3,2,1070,逃げ,晴,2,2,,,,,1070,500,280,110,01,0.08,03,0.11,04,0.14,05,0.06,06,0.21,02,0.09
20260824,19,5,1,2,5,2280,逃げ,晴,2,2,,,,,2280,900,720,420,01,0.23,02,0.21,03,0.25,05,0.23,04,0.24,06,0.15
20260824,19,6,2,3,4,6060,差し,晴,2,2,,,,,6060,1780,1980,1520,S1,0.10,01,0.08,04,0.22,03,0.13,05,0.16,02,0.10
