date,jcd,r,r1,r2,r3,3rt,決まり手,天候,風速,波高,水温,気温,単勝_払戻,複勝1_払戻,3連単_払戻,3連複_払戻,2連単_払戻,2連複_払戻,着順1,ST1,着順4,ST4,着順5,ST5,着順6,ST6,着順2,ST2,着順3,ST3
20260730,24,1,1,4,5,2210,逃げ,晴,3,2,,,,,2210,850,990,420,01,0.07,02,0.04,03,0.11,04,0.11,05,0.10,06,0.07
20260730,24,2,4,6,3,5130,まくり,晴,2,1,,,,,5130,1150,1170,850,04,0.17,01,0.11,06,0.16,02,0.12,05,0.15,03,0.18
20260730,24,3,1,2,3,360,逃げ,晴,2,1,,,,,360,190,330,190,01,0.15,05,0.16,04,0.13,06,0.15,02,0.17,03,0.16
20260730,24,4,3,1,2,8640,まくり差し,晴,2,1,,,,,8640,510,3590,620,02,0.12,06,0.08,05,0.08,04,0.13,03,0.16,01,0.11
20260730,24,5,1,3,5,480,逃げ,晴,2,1,,,,,480,220,180,140,01,0.08,05,0.08,03,0.11,06,0.06,04,0.21,02,0.16
20260730,24,6,6,3,2,135720,まくり差し,晴,2,1,,,,,135720,13330,27930,2580,06,0.12,04,0.13,05,0.13,01,0.13,03,0.18,02,0.12
20260730,24,7,1,4,2,3910,逃げ,晴,2,1,,,,,3910,1600,960,1260,01,0.10,02,0.20,04,0.26,06,0.27,03,0.19,05,0.24
20260730,24,8,1,2,5,570,逃げ,晴,2,1,,,,,570,190,310,210,01,0.19,06,0.36,03,0.24,05,0.38,02,0.32,04,0.31
20260730,24,9,1,4,6,7030,逃げ,晴,2,1,,,,,7030,4470,570,860,01,0.08,02,0.22,06,0.19,03,0.25,05,0.26,04,0.25
20260730,24,10,4,1,6,6960,まくり差し,晴,2,1,,,,,6960,1460,1610,380,02,0.11,01,0.08,04,0.12,03,0.10,05,0.14,06,0.19
20260730,24,11,1,4,5,2740,逃げ,晴,2,1,,,,,2740,1590,710,850,01,0.14,02,0.09,03,0.10,05,0.11,06,0.16,04,0.13
20260730,24,12,1,2,5,1780,逃げ,晴,1,1,,,,,1780,900,320,200,01,0.12,05,0.09,03,0.11,06,0.22,02,0.11,04,0.12
20260730,23,1,1,2,3,1800,逃げ,曇り,4,4,,,,,1800,1110,310,170,01,0.19,05,0.21,06,0.21,04,0.21,02,0.28,03,0.25
20260730,23,2,6,4,1,5870,まくり,曇り,4,4,,,,,5870,900,2900,1590,03,0.20,02,0.16,06,0.14,01,0.14,05,0.15,04,0.17
20260730,23,3,4,1,2,2010,抜き,曇り,3,3,,,,,2010,390,530,230,02,0.12,01,0.15,05,0.19,06,0.23,03,0.16,04,0.11
20260730,23,4,3,6,2,8550,まくり,晴,3,3,,,,,8550,1070,3110,1550,05,0.26,04,0.31,06,0.28,02,0.26,03,0.19,01,0.22
20260730,23,5,1,6,2,1280,逃げ,晴,5,5,,,,,1280,320,550,450,01,0.14,04,0.19,06,0.14,02,0.09,03,0.17,05,0.19
20260730,23,6,1,5,2,4110,逃げ,晴,3,3,,,,,4110,1560,800,560,01,0.10,06,0.13,02,0.11,05,0.14,03,0.16,04,0.10
20260730,23,7,3,2,5,1250,差し,晴,4,4,,,,,1250,330,460,430,06,0.18,05,0.15,03,0.11,04,0.15,02,0.17,01,0.16
20260730,23,8,1,5,2,710,逃げ,晴,4,4,,,,,710,260,390,250,01,0.06,06,0.06,02,0.04,05,0.08,03,0.07,04,0.07
20260730,23,9,4,2,5,2140,まくり差し,晴,4,4,,,,,2140,350,1340,420,04,0.12,01,0.09,03,0.07,05,0.06,02,0.13,06,0.15
20260730,23,10,1,5,4,12120,逃げ,晴,4,4,,,,,12120,3800,3480,3030,01,0.16,03,0.23,02,0.24,05,0.23,04,0.18,06,0.25
20260730,23,11,1,2,3,1530,逃げ,晴,4,4,,,,,1530,650,310,210,01,0.07,05,0.15,04,0.10,06,0.13,02,0.05,03,0.07
20260730,23,12,1,2,5,2260,逃げ,晴,3,3,,,,,2260,1260,370,580,01,0.17,06,0.33,03,0.16,04,0.19,02,0.14,05,0.08
20260730,22,1,1,3,4,1290,逃げ,晴,5,5,,,,,1290,1150,340,340,01,0.11,03,0.15,05,0.15,06,0.16,04,0.10,02,0.18
20260730,22,2,3,1,5,3020,まくり差し,晴,5,5,,,,,3020,550,1160,400,02,0.16,04,0.21,03,0.26,06,0.30,05,0.28,01,0.24
20260730,22,3,1,2,3,970,逃げ,晴,5,5,,,,,970,240,710,640,01,0.18,04,0.32,S2,0.28,S0,0.30,02,0.24,03,0.29
20260730,22,4,3,4,2,10990,まくり,晴,5,5,,,,,10990,2030,2780,1820,05,0.01,02,0.20,04,0.12,06,0.22,03,0.09,01,0.08
20260730,22,5,1,5,2,1560,逃げ,晴,5,5,,,,,1560,330,550,330,01,0.18,05,0.15,02,0.19,06,0.20,03,0.21,04,0.17
20260730,22,6,4,1,2,6780,まくり,晴,5,5,,,,,6780,1130,890,360,02,0.18,01,0.19,06,0.09,05,0.16,03,0.22,04,0.24
20260730,22,7,2,3,5,5850,抜き,晴,5,5,,,,,5850,1270,2800,1740,04,0.13,05,0.25,03,0.23,06,0.18,01,0.11,02,0.18
20260730,22,8,1,6,2,670,逃げ,晴,5,5,,,,,670,200,480,410,01,0.16,04,0.15,05,0.21,02,0.17,03,0.11,K0,K .
20260730,22,9,4,3,2,24890,まくり差し,晴,5,5,,,,,24890,3410,3800,4220,S0,0.32,01,0.14,04,0.26,05,0.24,03,0.34,02,0.18
20260730,22,10,1,3,4,2670,逃げ,晴,5,5,,,,,2670,1140,980,1000,01,0.15,03,0.17,06,0.26,04,0.26,05,0.14,02,0.16
20260730,22,11,1,4,2,1570,逃げ,晴,5,5,,,,,1570,750,680,540,01,0.16,02,0.23,04,0.23,05,0.25,03,0.20,06,0.28
20260730,22,12,3,1,2,14870,まくり,晴,5,5,,,,,14870,460,3840,380,02,0.25,05,0.20,06,0.20,04,0.21,03,0.22,01,0.21
20260730,19,1,1,2,6,1390,逃げ,晴,5,5,,,,,1390,750,290,500,01,0.01,04,0.17,06,0.12,03,0.12,02,0.07,05,0.11
20260730,19,2,1,2,4,1480,抜き,晴,5,5,,,,,1480,400,580,450,01,0.22,03,0.20,05,0.19,06,0.19,02,0.19,04,0.19
20260730,19,3,1,5,6,4860,抜き,晴,5,5,,,,,4860,1650,1780,1400,01,0.31,04,0.32,02,0.27,03,0.29,06,0.29,05,0.61
20260730,19,4,6,1,3,1110,抜き,晴,4,4,,,,,1110,210,490,330,02,0.14,05,0.19,06,0.16,01,0.14,04,0.10,03,0.13
20260730,19,5,1,3,2,1730,抜き,晴,4,4,,,,,1730,860,410,350,01,0.27,05,0.28,04,0.24,06,0.29,03,0.28,02,0.31
20260730,19,6,1,2,6,2250,逃げ,晴,3,3,,,,,2250,900,440,420,01,0.14,05,0.18,06,0.20,03,0.19,02,0.20,04,0.19
20260730,19,7,1,2,6,990,逃げ,晴,4,4,,,,,990,180,480,290,01,0.05,06,0.20,05,0.09,03,0.11,02,0.06,04,0.07
