date,jcd,r,r1,r2,r3,3rt,決まり手,天候,風速,波高,水温,気温,単勝_払戻,複勝1_払戻,3連単_払戻,3連複_払戻,2連単_払戻,2連複_払戻,着順1,ST1,着順3,ST3,着順4,ST4,着順5,ST5,着順6,ST6,着順2,ST2
20260920,24,1,1,3,4,1630,逃げ,晴,7,6,,,,,1630,610,520,430,01,0.12,02,0.03,03,0.09,04,0.03,05,0.08,S0,0.03
20260920,24,2,1,2,4,1330,抜き,晴,6,5,,,,,1330,400,410,320,01,0.13,05,0.19,03,0.14,06,0.16,04,0.20,02,0.20
20260920,24,3,3,1,4,1540,まくり差し,晴,5,4,,,,,1540,220,830,380,02,0.24,01,0.22,03,0.19,04,0.14,06,0.13,05,0.27
20260920,24,4,4,5,6,5740,まくり,晴,5,4,,,,,5740,4270,1570,1240,04,0.27,05,0.28,01,0.11,02,0.11,03,0.16,06,0.24
20260920,24,5,1,6,3,4130,逃げ,曇り,5,4,,,,,4130,970,1050,860,01,0.13,03,0.23,05,0.28,06,0.25,02,0.21,04,0.24
20260920,24,6,3,4,5,52040,まくり差し,曇り,6,5,,,,,52040,7730,6220,2360,04,0.16,01,0.23,02,0.25,03,0.34,06,0.39,05,0.24
20260920,24,7,4,1,6,3580,まくり差し,曇り,6,5,,,,,3580,1210,1060,310,02,0.08,06,0.14,01,0.05,04,0.08,03,0.11,05,0.06
20260920,24,8,5,1,6,111260,まくり,曇り,7,6,,,,,111260,8850,10320,2250,02,0.20,05,0.36,04,0.22,01,0.21,03,0.27,06,0.18
20260920,24,9,2,1,5,6930,差し,曇り,7,6,,,,,6930,1000,1790,500,02,0.08,04,0.17,06,0.23,03,0.18,05,0.22,01,0.14
20260920,24,10,1,3,5,1620,逃げ,曇り,6,5,,,,,1620,1360,380,250,01,0.15,02,0.17,06,0.20,03,0.22,05,0.21,04,0.18
20260920,24,11,1,4,2,1980,逃げ,曇り,7,6,,,,,1980,540,680,490,01,0.14,06,0.17,02,0.20,05,0.29,04,0.36,03,0.13
20260920,24,12,1,4,2,2250,逃げ,曇り,6,5,,,,,2250,850,810,450,01,0.16,06,0.17,02,0.09,04,0.10,05,0.23,03,0.16
20260920,23,1,2,4,1,13220,抜き,雨,7,7,,,,,13220,490,6560,2590,03,0.17,06,0.11,02,0.11,05,0.25,04,0.28,01,0.15
20260920,23,2,3,1,2,3940,まくり差し,雨,7,7,,,,,3940,450,830,240,02,0.10,01,0.07,04,0.08,05,0.12,06,0.10,03,0.15
20260920,23,3,1,4,6,730,逃げ,雨,7,7,,,,,730,400,270,210,01,0.09,04,0.21,02,0.17,06,0.28,03,0.23,05,0.17
20260920,23,4,1,2,6,4510,抜き,雨,7,7,,,,,4510,860,2520,1690,01,0.18,06,0.16,05,0.13,04,0.12,03,0.49,02,0.25
20260920,23,5,5,1,6,23850,まくり差し,曇り,7,7,,,,,23850,1960,5670,1430,02,0.20,04,0.27,06,0.17,01,0.17,03,0.19,05,0.24
20260920,23,6,2,3,6,8620,まくり,雨,8,8,,,,,8620,1990,2790,1980,05,0.06,02,0.19,S0,0.21,04,0.19,03,0.18,01,0.11
20260920,23,7,5,2,4,35900,まくり,曇り,8,8,,,,,35900,2560,11210,2860,04,0.11,05,0.12,03,0.16,01,0.19,06,0.25,02,0.15
