date,jcd,r,r1,r2,r3,3rt
20260620,02,1,1,4,3,1020
20260620,02,2,2,1,3,1220
20260620,02,3,4,3,5,1670
20260620,02,4,4,3,5,8580
20260620,02,5,1,4,6,2280
20260620,02,6,5,2,4,73320
20260620,02,7,1,3,4,450
20260620,02,8,5,6,3,10800
20260620,02,9,2,1,6,18970
20260620,02,10,3,1,5,3500
20260620,02,11,1,6,5,18080
20260620,02,12,1,3,2,2090
20260620,04,1,1,4,3,2640
20260620,04,2,1,2,3,520
20260620,04,3,2,3,4,1490
20260620,04,4,2,4,5,3550
20260620,04,5,1,3,5,5090
20260620,04,6,2,1,6,2320
20260620,04,7,1,5,2,1680
20260620,04,8,1,2,4,2020
20260620,04,9,3,4,2,5010
20260620,04,10,1,4,6,1230
20260620,04,11,3,1,2,2430
20260620,04,12,2,1,4,11190
20260620,05,1,2,3,1,2360
20260620,05,2,1,4,2,1850
20260620,05,3,3,2,5,4940
20260620,05,4,1,4,2,1220
20260620,05,5,2,1,3,1870
20260620,05,6,4,1,3,3710
20260620,05,7,5,3,2,6390
20260620,05,8,1,2,5,570
20260620,05,9,1,6,3,970
20260620,05,10,3,2,4,27820
20260620,05,11,1,4,5,2410
20260620,05,12,1,2,6,540
20260620,06,1,1,2,3,560
20260620,06,2,2,5,1,1220
20260620,06,3,1,6,4,18530
20260620,06,4,1,3,2,900
20260620,06,5,1,3,4,2940
20260620,06,6,2,6,4,73350
20260620,06,7,1,5,4,6240
20260620,06,8,4,1,5,650
20260620,06,9,1,4,5,3530
20260620,06,10,1,3,2,770
20260620,06,11,5,1,6,3070
20260620,06,12,1,6,5,7530
20260620,07,1,1,2,4,1410
20260620,07,2,2,4,1,6920
20260620,07,3,2,4,1,7340
20260620,07,4,1,3,5,1670
20260620,07,5,6,2,4,19780
20260620,07,6,2,1,5,5000
20260620,07,7,4,1,3,3580
20260620,07,8,1,6,2,10370
20260620,07,9,5,2,3,72350
20260620,07,10,4,2,3,3970
20260620,07,11,1,5,3,2280
20260620,07,12,1,3,4,940
20260620,09,1,2,1,5,16070
20260620,09,2,2,1,3,3150
20260620,09,3,1,4,5,640
20260620,09,4,1,4,6,3190
20260620,09,5,1,2,3,440
20260620,09,6,2,5,1,16490
20260620,09,7,2,1,4,4220
20260620,09,8,1,5,3,820
20260620,09,9,1,2,4,820
20260620,09,10,1,4,2,4350
20260620,09,11,1,2,5,1450
20260620,09,12,1,3,4,390
20260620,11,1,1,5,2,1500
20260620,11,2,1,3,4,530
20260620,11,3,2,3,1,3370
20260620,11,4,4,5,1,5320
20260620,11,5,4,3,5,17190
20260620,11,6,3,1,5,820
20260620,11,7,4,1,2,3260
20260620,11,8,1,3,2,1160
20260620,11,9,5,2,1,7710
20260620,11,10,1,6,3,940
20260620,11,11,1,3,5,1220
20260620,11,12,2,5,6,24370
20260620,13,1,1,4,6,9850
20260620,13,2,2,4,1,4710
20260620,13,3,2,1,5,1090
20260620,13,4,2,6,4,4500
20260620,13,5,3,1,4,3290
20260620,13,6,1,2,4,2180
20260620,13,7,1,5,4,4320
20260620,13,8,1,3,6,640
20260620,13,9,1,6,4,20490
20260620,13,10,4,1,6,1640
20260620,13,11,3,1,6,13730
20260620,13,12,1,4,2,840
20260620,15,1,1,2,3,580
20260620,15,2,1,2,3,1670
20260620,15,3,3,4,6,7210
20260620,15,4,2,1,5,2450
20260620,15,5,1,2,6,2500
20260620,15,6,3,5,4,5800
20260620,15,7,2,1,4,660
20260620,15,8,3,1,5,1680
20260620,15,9,1,3,4,2530
20260620,15,10,1,3,2,590
20260620,15,11,4,1,5,6530
20260620,15,12,1,2,4,620
20260620,17,1,2,1,4,12910
20260620,17,2,4,2,5,2410
20260620,17,3,4,3,2,21890
20260620,17,4,1,3,4,930
20260620,17,5,4,5,1,14620
20260620,17,6,2,3,5,1070
20260620,17,7,1,4,5,4060
20260620,17,8,3,2,4,1750
20260620,17,9,4,6,1,5330
20260620,17,10,3,6,4,5660
20260620,17,11,5,2,4,4160
20260620,17,12,1,4,2,920
20260620,18,1,1,2,3,710
20260620,18,2,1,2,5,830
20260620,18,3,2,1,3,3470
20260620,18,4,2,4,1,29220
20260620,18,5,1,3,2,1450
20260620,18,6,2,3,4,2130
20260620,18,7,2,5,6,20970
20260620,18,8,2,5,6,27210
20260620,18,9,1,2,5,1290
20260620,18,10,1,2,3,790
20260620,18,11,1,2,3,580
20260620,18,12,1,3,2,480
20260620,20,1,3,4,2,1750
20260620,20,2,1,6,5,1550
20260620,20,3,1,2,3,3040
20260620,20,4,4,3,1,27290
20260620,20,5,1,2,5,1330
20260620,20,6,1,2,3,3520
20260620,20,7,1,3,4,690
20260620,20,8,1,4,2,1420
20260620,20,9,2,1,3,3310
20260620,20,10,4,5,1,10340
20260620,20,11,5,3,4,108310
20260620,20,12,5,6,1,12730
20260620,21,1,1,4,3,3500
20260620,21,2,4,3,1,5220
20260620,21,3,1,3,2,810
20260620,21,4,3,4,2,54960
20260620,21,5,1,2,5,5840
20260620,21,6,3,1,4,4590
20260620,21,7,2,1,6,6650
20260620,21,8,1,2,4,2220
20260620,21,9,1,5,4,10030
20260620,21,10,1,3,4,1040
20260620,21,11,1,2,3,720
20260620,21,12,3,4,2,7860
20260620,24,1,4,3,1,16990
20260620,24,2,3,1,5,4740
20260620,24,3,2,3,5,950
20260620,24,4,3,1,5,2310
20260620,24,5,4,1,2,3390
20260620,24,6,1,4,5,1380
20260620,24,7,1,3,2,720
20260620,24,8,2,6,4,2480
20260620,24,9,1,6,3,15780
20260620,24,10,1,3,2,1670
20260620,24,11,3,6,1,37720
20260620,24,12,4,1,2,3990
