date,jcd,r,r1,r2,r3,3rt
20260702,04,1,4,3,5,3650
20260702,04,2,1,2,3,650
20260702,04,3,3,1,6,1320
20260702,04,4,4,3,5,10000
20260702,04,5,2,1,4,6920
20260702,04,6,2,5,6,4570
20260702,04,7,2,4,6,4010
20260702,04,8,4,3,1,5830
20260702,04,9,2,5,3,14950
20260702,04,10,1,4,6,10960
20260702,04,11,3,1,6,4930
20260702,04,12,3,5,2,34730
20260702,05,1,4,6,1,4060
20260702,05,2,1,3,6,1750
20260702,05,3,1,2,4,1610
20260702,05,4,1,2,5,2170
20260702,05,5,1,6,3,2480
20260702,05,6,1,3,4,620
20260702,05,7,5,2,1,29850
20260702,05,8,1,2,6,1800
20260702,05,9,4,1,3,7170
20260702,05,10,2,4,5,14060
20260702,05,11,1,3,4,1080
20260702,05,12,1,5,3,4850
20260702,06,1,6,5,1,11310
20260702,06,2,4,3,5,1630
20260702,06,3,1,6,4,1490
20260702,06,4,4,2,6,5210
20260702,06,5,1,4,6,1970
20260702,06,6,2,1,5,5600
20260702,06,7,1,2,3,2320
20260702,06,8,4,1,3,2160
20260702,06,9,3,5,2,3690
20260702,06,10,6,4,1,2390
20260702,06,11,3,2,4,1500
20260702,06,12,1,2,3,430
20260702,07,1,3,2,1,910
20260702,07,2,4,1,2,13740
20260702,07,3,5,2,6,3170
20260702,07,4,1,2,3,1380
20260702,07,5,2,5,4,53770
20260702,07,6,1,2,3,1430
20260702,07,7,1,5,3,710
20260702,07,8,3,1,2,870
20260702,07,9,1,3,5,4980
20260702,07,10,1,2,3,970
20260702,07,11,1,6,2,1870
20260702,07,12,5,1,6,9460
20260702,08,1,1,5,2,2010
20260702,08,2,1,2,5,3360
20260702,08,3,2,3,4,1370
20260702,08,4,2,1,6,8860
20260702,08,5,5,1,4,14020
20260702,08,6,5,2,4,141430
20260702,08,7,1,5,6,1350
20260702,08,8,4,2,6,2180
20260702,08,9,1,3,6,3270
20260702,08,10,1,4,5,930
20260702,08,11,1,2,3,490
20260702,08,12,1,6,4,3820
20260702,11,1,1,2,4,1190
20260702,11,2,1,2,4,1760
20260702,11,3,1,6,4,4990
20260702,11,4,1,6,3,2210
20260702,11,5,5,4,2,3370
20260702,11,6,5,2,3,2070
20260702,11,7,4,6,3,5860
20260702,11,8,3,1,2,12860
20260702,11,9,4,2,5,17650
20260702,11,10,1,4,3,1430
20260702,11,11,2,4,1,11370
20260702,11,12,2,1,3,4620
20260702,16,1,3,5,1,26410
20260702,16,2,1,2,3,3480
20260702,16,3,4,5,6,12760
20260702,16,4,5,1,3,11280
20260702,16,5,1,4,3,2290
20260702,16,6,4,5,1,5490
20260702,16,7,2,4,3,17690
20260702,16,8,3,4,1,2040
20260702,16,9,1,4,6,3140
20260702,16,10,1,2,4,2100
20260702,16,11,1,2,4,530
20260702,16,12,4,6,5,18870
20260702,19,1,1,5,4,4820
20260702,19,2,3,2,6,8080
20260702,19,3,1,3,2,1200
20260702,19,4,1,2,4,6430
20260702,19,5,1,4,2,1040
20260702,19,6,3,2,1,11310
20260702,19,7,1,6,2,20310
20260702,19,8,1,2,5,1810
20260702,19,9,1,4,2,1060
20260702,19,10,1,3,5,820
20260702,19,11,4,1,5,2790
20260702,19,12,1,5,3,2110
20260702,20,1,5,4,2,3420
20260702,20,2,4,2,1,34800
20260702,20,3,1,4,6,1240
20260702,20,4,1,3,4,580
20260702,20,5,1,4,2,920
20260702,20,6,1,3,4,1880
20260702,20,7,1,4,2,660
20260702,20,8,1,6,2,7710
20260702,20,9,1,2,5,2080
20260702,20,10,1,4,5,1660
20260702,20,11,1,2,3,550
20260702,20,12,1,4,3,3780
20260702,21,1,1,3,5,1000
20260702,21,2,1,3,4,940
20260702,21,3,1,4,3,1680
20260702,21,4,1,2,4,2200
20260702,21,5,2,4,6,31950
20260702,21,6,1,6,2,1220
20260702,21,7,2,5,1,21010
20260702,21,8,2,5,1,8810
20260702,21,9,1,4,3,580
20260702,21,10,2,4,6,12260
20260702,21,11,1,2,4,540
20260702,21,12,3,2,5,15370
20260702,22,1,1,2,4,540
20260702,22,2,1,3,6,630
20260702,22,3,3,1,5,1040
20260702,22,4,2,1,3,1360
20260702,22,5,3,1,6,620
20260702,22,6,1,6,4,4230
20260702,22,7,1,6,2,800
20260702,22,8,1,3,2,1070
20260702,22,9,4,1,3,4180
20260702,22,10,1,2,4,400
20260702,22,11,1,2,6,5260
20260702,22,12,1,2,4,550
20260702,23,1,3,4,2,123440
20260702,23,2,1,3,6,1110
20260702,23,3,3,1,4,2130
20260702,23,4,2,1,3,3090
20260702,23,5,1,4,5,5460
20260702,23,6,2,6,5,4910
20260702,23,7,1,5,6,6020
20260702,23,8,1,3,4,2750
20260702,23,9,1,3,5,3070
20260702,23,10,4,2,1,26570
20260702,23,11,1,4,3,1450
20260702,23,12,1,4,2,840
20260702,24,1,2,1,4,6730
20260702,24,2,2,3,1,8510
20260702,24,3,2,4,3,2590
20260702,24,4,1,3,2,860
20260702,24,5,5,6,4,27950
20260702,24,6,1,2,6,680
20260702,24,7,1,3,2,910
20260702,24,8,1,2,4,810
20260702,24,9,1,2,4,1560
20260702,24,10,1,3,2,780
20260702,24,11,1,2,4,550
20260702,24,12,2,1,6,12250
