date,jcd,r,r1,r2,r3,3rt
20260712,02,1,1,3,2,1170
20260712,02,2,1,2,3,1100
20260712,02,3,1,3,4,780
20260712,02,4,4,2,5,12690
20260712,02,5,1,3,5,4070
20260712,02,6,2,1,3,4130
20260712,02,7,1,4,3,1330
20260712,02,8,1,2,3,1060
20260712,02,9,1,2,3,710
20260712,02,10,1,4,3,2610
20260712,02,11,1,3,2,870
20260712,02,12,3,1,5,6590
20260712,03,1,1,3,2,6000
20260712,03,2,1,2,4,6640
20260712,03,3,2,1,3,1220
20260712,03,4,4,1,5,18590
20260712,03,5,1,3,2,1470
20260712,03,6,2,3,1,900
20260712,03,7,3,1,4,710
20260712,03,8,1,3,6,800
20260712,03,9,1,2,6,960
20260712,03,10,1,3,6,1260
20260712,03,11,1,3,4,2010
20260712,03,12,1,3,6,930
20260712,04,1,1,2,6,1650
20260712,04,2,1,2,6,630
20260712,04,3,2,3,1,1910
20260712,04,4,1,5,4,960
20260712,04,5,4,1,5,8750
20260712,04,6,6,1,3,16470
20260712,04,7,4,2,1,1190
20260712,04,8,4,1,6,2700
20260712,04,9,3,1,5,630
20260712,04,10,1,2,4,3570
20260712,04,11,1,4,2,5340
20260712,04,12,5,3,1,8700
20260712,05,1,6,4,2,80400
20260712,05,2,4,1,3,1520
20260712,05,3,1,2,4,1650
20260712,05,4,1,5,2,3110
20260712,05,5,2,6,3,30530
20260712,05,6,3,4,1,10500
20260712,05,7,1,3,4,2290
20260712,05,8,1,3,2,1570
20260712,05,9,1,6,2,1970
20260712,05,10,1,2,5,2160
20260712,05,11,2,5,3,10300
20260712,05,12,5,3,6,58520
20260712,06,1,1,2,3,1800
20260712,06,2,1,3,6,5360
20260712,06,3,4,1,2,1210
20260712,06,4,4,5,6,5620
20260712,06,5,3,1,5,5740
20260712,06,6,1,2,5,4140
20260712,06,7,1,3,5,1200
20260712,06,8,5,6,1,27730
20260712,06,9,2,1,6,1550
20260712,06,10,1,4,2,7140
20260712,06,11,1,3,6,1190
20260712,06,12,1,5,3,6710
20260712,08,1,1,2,3,990
20260712,08,2,4,5,6,5770
20260712,08,3,3,4,2,5150
20260712,08,4,2,3,4,31280
20260712,08,5,3,4,2,3300
20260712,08,6,1,2,3,650
20260712,08,7,4,1,2,8270
20260712,08,8,1,5,4,10740
20260712,08,9,2,1,4,2370
20260712,08,10,3,1,6,7620
20260712,08,11,1,3,4,760
20260712,08,12,1,3,5,1070
20260712,09,1,1,3,4,640
20260712,09,2,2,1,3,4720
20260712,09,3,1,4,6,3420
20260712,09,4,4,2,5,5560
20260712,09,5,1,5,2,1300
20260712,09,6,6,2,4,2050
20260712,09,7,1,5,2,940
20260712,09,8,3,6,5,2850
20260712,09,9,4,1,3,6550
20260712,09,10,2,5,4,11100
20260712,09,11,4,3,5,9550
20260712,09,12,1,2,5,3990
20260712,10,1,3,4,5,7800
20260712,10,2,5,6,4,8760
20260712,10,3,6,3,5,13190
20260712,10,4,1,3,5,2530
20260712,10,5,1,4,6,4060
20260712,10,6,1,3,2,3040
20260712,10,7,3,2,5,23240
20260712,10,8,3,2,4,15020
20260712,10,9,1,2,3,2160
20260712,10,10,2,4,1,4520
20260712,10,11,6,4,2,93690
20260712,10,12,2,5,1,10830
20260712,11,1,1,4,2,4140
20260712,11,2,1,2,3,530
20260712,11,3,1,6,3,2870
20260712,11,4,1,4,5,1050
20260712,11,5,1,2,3,1080
20260712,11,6,1,5,3,900
20260712,11,7,2,1,5,10350
20260712,11,8,1,2,3,980
20260712,11,9,1,4,2,1100
20260712,11,10,3,1,4,11730
20260712,11,11,1,4,2,1490
20260712,11,12,1,2,4,970
20260712,14,1,1,2,3,650
20260712,14,2,4,6,2,760
20260712,14,3,1,3,4,1180
20260712,14,4,3,6,2,10250
20260712,14,5,1,3,2,2930
20260712,14,6,1,3,4,1170
20260712,14,7,5,3,2,6000
20260712,14,8,1,2,3,1750
20260712,14,9,2,3,4,6550
20260712,14,10,1,2,6,1820
20260712,14,11,4,1,6,13080
20260712,14,12,1,2,4,880
20260712,15,1,1,3,2,1670
20260712,15,2,1,2,5,830
20260712,15,3,1,3,2,4100
20260712,15,4,4,3,6,1490
20260712,15,5,1,4,5,5100
20260712,15,6,5,3,4,113770
20260712,15,7,1,2,3,1430
20260712,15,8,1,2,3,530
20260712,15,9,1,3,6,630
20260712,15,10,1,6,4,16400
20260712,15,11,6,5,1,14160
20260712,15,12,4,5,1,8990
20260712,16,1,1,2,5,1060
20260712,16,2,6,1,3,1320
20260712,16,3,1,2,4,1390
20260712,16,4,1,4,2,1510
20260712,16,5,1,5,2,1580
20260712,16,6,2,1,5,2400
20260712,16,7,3,1,6,5460
20260712,16,8,5,1,6,5610
20260712,16,9,1,3,2,620
20260712,16,10,1,2,3,410
20260712,16,11,1,3,4,850
20260712,16,12,1,3,5,630
20260712,19,1,1,2,3,630
