date,jcd,r,r1,r2,r3,3rt
20260715,01,1,4,5,6,43960
20260715,01,2,3,5,2,4040
20260715,01,3,6,3,2,16520
20260715,01,4,4,6,1,3000
20260715,01,5,6,4,3,5720
20260715,01,6,5,1,3,5860
20260715,01,7,3,1,5,1100
20260715,01,8,2,6,1,28210
20260715,01,9,1,3,4,9660
20260715,01,10,2,3,5,1850
20260715,01,11,1,4,6,2760
20260715,01,12,1,3,5,1170
20260715,03,1,2,1,5,1840
20260715,03,2,1,3,2,1560
20260715,03,3,4,2,5,10790
20260715,03,4,1,2,5,850
20260715,03,5,2,6,3,6920
20260715,03,6,2,1,3,4220
20260715,03,7,1,5,3,900
20260715,03,8,2,1,4,7300
20260715,03,9,4,1,5,1860
20260715,03,10,1,2,4,630
20260715,03,11,1,5,2,1910
20260715,03,12,1,2,3,730
20260715,05,1,1,4,2,10190
20260715,05,2,4,5,3,1970
20260715,05,3,4,2,5,3340
20260715,05,4,4,5,2,10810
20260715,05,5,1,2,5,1910
20260715,05,6,3,1,6,1400
20260715,05,7,1,3,2,2000
20260715,05,8,1,2,3,740
20260715,05,9,1,3,2,820
20260715,05,10,1,2,4,970
20260715,05,11,1,2,3,390
20260715,05,12,1,2,4,1400
20260715,06,1,4,6,2,11500
20260715,06,2,1,2,5,580
20260715,06,3,1,5,6,2070
20260715,06,4,4,2,3,5480
20260715,06,5,5,2,4,15000
20260715,06,6,4,1,6,3750
20260715,06,7,5,1,4,19170
20260715,06,8,1,4,6,1060
20260715,06,9,1,4,3,3190
20260715,06,10,1,3,6,1910
20260715,06,11,1,2,4,1200
20260715,06,12,1,3,4,1650
20260715,07,1,1,4,6,3370
20260715,07,2,2,3,4,5460
20260715,07,3,1,5,6,3050
20260715,07,4,4,5,1,8480
20260715,07,5,1,2,6,1450
20260715,07,6,2,6,3,5640
20260715,07,7,1,3,2,760
20260715,07,8,4,1,6,2570
20260715,07,9,1,3,4,440
20260715,07,10,5,4,1,23110
20260715,07,11,1,4,2,1330
20260715,07,12,1,3,2,780
20260715,08,1,1,3,4,620
20260715,08,2,5,2,4,4350
20260715,08,3,1,3,4,14810
20260715,08,4,5,1,3,12630
20260715,08,5,3,1,5,1970
20260715,08,6,1,6,2,970
20260715,08,7,1,2,6,14110
20260715,08,8,4,5,1,11270
20260715,08,9,3,1,2,2450
20260715,08,10,6,3,1,45420
