date,jcd,r,r1,r2,r3,3rt
20260621,19,10,1,4,2,2660
20260621,19,11,1,4,3,1050
20260621,19,12,2,1,3,5640
20260621,20,1,1,5,2,2930
20260621,20,2,1,2,5,1300
20260621,20,3,3,2,6,4000
20260621,20,4,1,2,4,3700
20260621,20,5,1,2,4,320
20260621,20,6,1,2,3,750
20260621,20,7,1,2,3,3020
20260621,20,8,2,4,3,6320
20260621,20,9,1,3,4,1000
20260621,20,10,1,2,3,1920
20260621,20,11,1,3,2,1680
20260621,20,12,1,4,2,1930
20260621,24,1,4,1,5,14150
20260621,24,2,1,5,4,4840
20260621,24,3,1,2,3,1090
20260621,24,4,1,3,4,940
20260621,24,5,3,6,4,8040
20260621,24,6,1,3,6,830
20260621,24,7,1,3,2,670
20260621,24,8,1,3,4,2200
20260621,24,9,1,2,3,620
20260621,24,10,1,2,3,710
20260621,24,11,1,2,3,520
20260621,24,12,1,5,6,2410
