date,jcd,r,r1,r2,r3,3rt,決まり手,天候,風速,波高,水温,気温,単勝_払戻,複勝1_払戻,3連単_払戻,3連複_払戻,2連単_払戻,2連複_払戻,着順1,ST1,着順5,ST5,着順6,ST6,着順4,ST4,着順2,ST2,着順3,ST3
20260910,24,1,1,5,6,16860,逃げ,曇り,1,1,,,,,16860,5230,2640,3280,01,0.11,02,0.11,03,0.11,04,0.17,05,0.13,06,0.17
20260910,24,2,3,5,2,26210,差し,曇り,1,1,,,,,26210,5580,6250,4250,05,0.08,02,0.04,04,0.11,06,0.01,03,0.04,01,0.08
20260910,24,3,1,3,5,2030,逃げ,曇り,0,1,,,,,2030,970,440,360,01,0.02,03,0.08,06,0.06,05,0.10,04,0.07,02,0.07
20260910,24,4,1,2,5,770,逃げ,曇り,1,1,,,,,770,420,340,150,01,0.08,03,0.22,04,0.24,05,0.18,02,0.12,06,0.23
20260910,24,5,3,1,4,4450,差し,雨,1,1,,,,,4450,760,900,170,02,0.08,06,0.13,05,0.13,03,0.11,04,0.05,01,0.04
20260910,24,6,1,4,6,4550,逃げ,雨,1,1,,,,,4550,2610,420,290,01,0.10,06,0.08,03,0.11,02,0.09,04,0.18,05,0.15
20260910,24,7,1,2,6,2970,逃げ,雨,1,1,,,,,2970,1700,220,140,01,0.08,F,F0.01,03,0.00,04,0.00,02,0.06,05,0.07
20260910,24,8,1,4,3,1150,逃げ,雨,1,1,,,,,1150,340,360,310,01,0.05,04,0.18,06,0.17,02,0.24,05,0.07,03,0.13
20260910,24,9,1,3,4,820,逃げ,雨,0,1,,,,,820,430,360,510,01,0.09,06,0.20,05,0.16,03,0.22,04,0.09,02,0.13
20260910,24,10,3,1,5,9580,まくり差し,雨,1,1,,,,,9580,480,2630,290,02,0.05,03,0.02,04,0.02,05,0.03,06,0.12,01,0.10
20260910,24,11,1,2,6,3120,逃げ,雨,0,1,,,,,3120,2320,220,150,01,0.13,05,0.12,03,0.12,04,0.10,02,0.11,06,0.10
20260910,24,12,1,4,5,2740,逃げ,雨,1,1,,,,,2740,1250,590,690,01,0.05,03,0.13,05,0.13,02,0.07,04,0.06,06,0.14
20260910,21,1,1,3,5,880,逃げ,曇り,3,3,,,,,880,300,620,420,01,0.13,03,0.15,04,0.09,06,0.02,05,0.18,02,0.15
20260910,21,2,1,4,2,930,逃げ,曇り,3,3,,,,,930,290,250,330,01,0.32,04,0.26,05,0.31,02,0.23,03,0.26,06,0.18
20260910,21,3,1,3,5,360,逃げ,曇り,3,3,,,,,360,160,200,160,01,0.04,03,0.11,04,0.13,06,0.13,05,0.12,02,0.12
20260910,21,4,1,2,3,3430,逃げ,曇り,3,3,,,,,3430,980,1210,1440,01,0.03,05,0.16,06,0.21,04,0.13,02,0.08,03,0.09
20260910,21,5,3,1,5,2700,まくり差し,曇り,2,2,,,,,2700,650,860,210,02,0.23,03,0.15,05,0.26,06,0.10,04,0.09,01,0.07
20260910,21,6,6,2,5,4650,まくり,曇り,3,3,,,,,4650,590,1810,720,04,0.29,03,0.13,01,0.12,05,0.07,02,0.06,06,0.17
20260910,21,7,1,5,2,1820,逃げ,曇り,2,2,,,,,1820,670,770,530,01,0.18,02,0.19,06,0.24,04,0.13,03,0.22,05,0.16
20260910,21,8,6,1,2,1320,抜き,曇り,2,2,,,,,1320,190,900,230,02,0.15,06,0.18,01,0.13,04,0.14,03,0.11,05,0.13
20260910,21,9,1,5,2,690,逃げ,曇り,1,1,,,,,690,260,220,110,01,0.11,02,0.19,04,0.34,05,0.20,03,0.20,06,0.21
20260910,21,10,1,5,6,730,逃げ,曇り,2,2,,,,,730,210,260,160,01,0.14,02,0.19,03,0.17,06,0.07,04,0.16,05,0.19
20260910,21,11,1,2,6,1610,逃げ,曇り,2,2,,,,,1610,890,250,180,01,0.20,04,0.25,03,0.14,05,0.27,02,0.22,06,0.26
