date,jcd,r,r1,r2,r3,3rt,決まり手,天候,風速,波高,水温,気温,単勝_払戻,複勝1_払戻,3連単_払戻,3連複_払戻,2連単_払戻,2連複_払戻,着順5,ST5,着順1,ST1,着順4,ST4,着順3,ST3,着順6,ST6,着順2,ST2
20260727,21,1,5,1,4,42170,まくり差し,晴,0,1,,,,,42170,4660,6360,770,01,0.23,02,0.17,03,0.17,04,0.14,05,0.14,06,0.15
20260727,21,2,1,4,3,600,逃げ,晴,0,1,,,,,600,290,230,150,06,0.15,01,0.20,02,0.16,03,0.23,05,0.11,04,0.16
20260727,21,3,1,5,2,1000,逃げ,晴,2,2,,,,,1000,440,460,280,02,0.14,01,0.05,05,0.12,04,0.06,06,0.08,03,0.05
20260727,21,4,1,4,2,5610,逃げ,晴,2,2,,,,,5610,1630,1890,1590,06,0.08,01,0.08,02,0.07,05,0.18,04,0.10,03,0.10
20260727,21,5,1,2,6,1010,逃げ,晴,2,2,,,,,1010,400,370,430,06,0.14,01,0.11,05,0.13,04,0.11,03,0.11,02,0.13
20260727,21,6,3,5,2,31590,まくり,晴,2,2,,,,,31590,3930,11920,7070,02,0.20,05,0.24,06,0.21,01,0.19,04,0.12,03,0.22
20260727,21,7,2,1,6,1100,差し,晴,3,3,,,,,1100,380,370,130,04,0.20,02,0.08,06,0.18,05,0.11,03,0.18,01,0.06
20260727,21,8,1,5,2,13710,逃げ,晴,3,3,,,,,13710,3260,2740,1340,02,0.11,01,0.16,06,0.09,04,0.14,05,0.13,03,0.15
20260727,21,9,3,6,4,19630,まくり,晴,2,2,,,,,19630,1780,3540,1910,06,0.06,05,0.15,03,0.14,01,0.18,02,0.13,04,0.12
20260727,21,10,1,4,2,1600,逃げ,晴,3,3,,,,,1600,520,780,780,05,0.21,01,0.19,02,0.12,04,0.15,06,0.22,03,0.17
20260727,21,11,1,2,5,690,逃げ,晴,3,3,,,,,690,370,250,240,03,0.06,01,0.14,05,0.10,04,0.12,06,0.14,02,0.13
20260727,21,12,1,3,4,1200,逃げ,晴,4,4,,,,,1200,710,370,320,06,0.16,01,0.11,03,0.16,02,0.18,04,0.11,05,0.15
20260727,20,1,1,2,4,1580,逃げ,晴,3,3,,,,,1580,700,480,190,05,0.19,01,0.27,03,0.19,04,0.16,06,0.27,02,0.19
20260727,20,2,3,6,2,12710,まくり差し,晴,3,3,,,,,12710,800,5250,3390,06,0.11,05,0.19,04,0.11,01,0.12,02,0.13,03,0.10
20260727,20,3,1,5,2,1530,逃げ,晴,4,4,,,,,1530,410,580,360,02,0.12,01,0.12,05,0.16,04,0.16,06,0.14,03,0.16
20260727,20,4,1,4,3,1680,逃げ,晴,3,3,,,,,1680,340,490,330,06,0.19,01,0.15,02,0.15,03,0.10,05,0.19,04,0.13
20260727,20,5,1,5,4,4140,逃げ,晴,3,3,,,,,4140,750,1300,1060,02,0.27,01,0.13,03,0.15,06,0.12,05,0.27,04,0.12
20260727,20,6,1,3,5,450,逃げ,晴,3,3,,,,,450,290,190,100,03,0.26,01,0.18,05,0.31,02,0.22,04,0.22,06,0.23
20260727,20,7,1,2,5,3600,逃げ,晴,2,2,,,,,3600,2670,1000,740,03,0.12,01,0.13,06,0.11,04,0.09,05,0.18,02,0.11
20260727,20,8,1,3,5,1480,逃げ,晴,1,1,,,,,1480,620,390,230,03,0.18,01,0.09,05,0.08,02,0.07,06,0.13,04,0.07
20260727,20,9,1,2,3,640,逃げ,晴,2,2,,,,,640,240,340,380,04,0.20,01,0.15,06,0.21,03,0.19,05,0.17,02,0.16
