date,jcd,r,r1,r2,r3,3rt,決まり手,天候,風速,波高,水温,気温,単勝_払戻,複勝1_払戻,3連単_払戻,3連複_払戻,2連単_払戻,2連複_払戻,着順2,ST2,着順3,ST3,着順4,ST4,着順6,ST6,着順1,ST1,着順5,ST5
20260903,24,1,2,3,4,9920,まくり,曇り,1,1,,,,,9920,2760,3080,2060,01,0.15,02,0.16,03,0.18,04,0.21,05,0.36,S1,0.21
20260903,24,2,1,2,5,3160,逃げ,曇り,1,1,,,,,3160,1450,570,400,02,0.20,05,0.24,04,0.26,06,0.24,01,0.24,03,0.26
20260903,24,3,4,1,5,6030,まくり差し,曇り,1,1,,,,,6030,2140,780,330,05,0.13,06,0.17,01,0.11,04,0.19,02,0.12,03,0.12
20260903,24,4,3,4,6,1680,まくり差し,曇り,1,1,,,,,1680,640,530,390,05,0.14,01,0.10,02,0.06,03,0.09,04,0.10,06,0.12
20260903,24,5,3,2,1,3170,抜き,曇り,2,1,,,,,3170,230,1690,780,02,0.24,01,0.24,04,0.22,06,0.22,03,0.31,05,0.24
20260903,24,6,2,1,3,2760,抜き,曇り,1,1,,,,,2760,510,860,250,01,0.10,03,0.10,04,0.12,05,0.15,02,0.12,06,0.18
20260903,24,7,1,3,2,1220,逃げ,曇り,1,1,,,,,1220,260,820,540,03,0.12,02,0.10,06,0.10,05,0.19,01,0.16,04,0.09
20260903,24,8,1,3,2,1450,逃げ,曇り,1,1,,,,,1450,610,280,190,03,0.13,02,0.14,04,0.14,06,0.08,01,0.09,05,0.05
20260903,24,9,1,4,2,2500,逃げ,曇り,1,1,,,,,2500,610,1380,760,03,0.09,06,0.09,02,0.11,05,0.12,01,0.05,04,0.12
20260903,24,10,2,1,3,760,差し,曇り,1,1,,,,,760,160,510,180,01,0.10,03,0.11,06,0.07,05,0.15,02,0.09,04,0.08
20260903,24,11,1,3,4,760,逃げ,曇り,1,1,,,,,760,550,340,270,05,0.12,02,0.17,03,0.18,04,0.21,01,0.12,06,0.15
20260903,24,12,1,5,3,2010,逃げ,曇り,1,1,,,,,2010,700,610,510,04,0.15,03,0.09,05,0.10,06,0.01,01,0.08,02,0.05
20260903,22,1,4,1,6,6600,まくり,曇り,3,3,,,,,6600,1270,1680,520,05,0.20,06,0.28,01,0.10,03,0.10,02,0.22,04,0.11
20260903,22,2,2,1,6,12470,差し,曇り,3,3,,,,,12470,1190,2140,350,01,0.16,05,0.12,04,0.16,03,0.18,02,0.15,06,0.19
20260903,22,3,1,3,2,680,逃げ,曇り,3,3,,,,,680,140,570,160,03,0.04,02,0.07,04,0.03,F,F0.02,01,0.01,F,F0.01
20260903,22,4,1,2,5,840,逃げ,曇り,3,3,,,,,840,370,290,230,02,0.18,05,0.30,06,0.36,04,0.31,01,0.22,03,0.28
20260903,22,5,4,1,5,2580,まくり差し,曇り,3,3,,,,,2580,570,790,520,04,0.27,05,0.32,01,0.21,06,0.27,02,0.34,03,0.22
20260903,22,6,1,5,3,7450,逃げ,曇り,4,4,,,,,7450,1790,2310,1160,06,0.23,03,0.18,05,0.23,04,0.22,01,0.19,02,0.24
20260903,22,7,1,2,3,700,逃げ,曇り,4,4,,,,,700,290,240,210,02,0.09,03,0.07,06,0.17,05,0.19,01,0.09,04,0.15
20260903,22,8,1,2,3,1240,逃げ,曇り,4,4,,,,,1240,720,310,200,02,0.13,03,0.13,04,0.09,06,0.34,01,0.16,05,0.14
