date,jcd,r,r1,r2,r3,3rt,決まり手,天候,風速,波高,水温,気温,単勝_払戻,複勝1_払戻,3連単_払戻,3連複_払戻,2連単_払戻,2連複_払戻,着順1,ST1,着順4,ST4,着順2,ST2,着順5,ST5,着順3,ST3,着順6,ST6
20260926,22,1,1,4,2,1190,逃げ,雨,2,2,,,,,1190,290,490,300,01,0.12,02,0.26,03,0.16,04,0.19,05,0.21,06,0.23
20260926,22,2,2,1,6,5950,差し,雨,2,2,,,,,5950,1710,1670,390,02,0.03,05,0.04,01,0.05,04,0.06,06,0.03,03,0.05
20260926,22,3,1,3,6,1270,逃げ,雨,2,2,,,,,1270,590,240,200,01,0.17,04,0.17,05,0.20,06,0.21,02,0.19,03,0.18
20260926,22,4,1,2,4,3040,逃げ,雨,2,2,,,,,3040,1640,390,400,01,0.02,03,0.11,02,0.09,04,0.22,05,0.18,06,0.25
20260926,22,5,4,5,1,106180,まくり,雨,2,2,,,,,106180,2690,14520,5910,03,0.31,01,0.29,05,0.33,02,0.34,S1,0.26,04,0.34
20260926,22,6,1,5,4,890,逃げ,雨,2,2,,,,,890,240,490,430,01,0.17,03,0.15,05,0.21,02,0.14,04,0.17,06,0.21
20260926,22,7,1,2,4,3100,逃げ,雨,2,2,,,,,3100,1180,760,1190,01,0.17,03,0.20,02,0.19,04,0.19,05,0.15,06,0.16
20260926,22,8,1,2,6,4080,逃げ,雨,2,2,,,,,4080,1780,700,480,01,0.20,04,0.22,02,0.22,05,0.22,06,0.40,03,0.21
20260926,22,9,3,1,4,5800,まくり差し,雨,3,3,,,,,5800,640,1870,240,02,0.20,03,0.24,04,0.21,06,0.31,01,0.22,05,0.33
20260926,22,10,2,5,3,8800,恵まれ,雨,3,3,,,,,8800,1260,4680,2060,F,F0.01,04,0.12,01,0.05,02,0.13,03,0.11,05,0.11
20260926,22,11,5,3,4,16790,まくり,曇り,3,3,,,,,16790,2940,3390,1410,05,0.25,03,0.26,04,0.14,01,0.12,02,0.11,06,0.24
20260926,22,12,1,3,6,3320,逃げ,曇り,3,3,,,,,3320,1860,240,210,01,0.08,06,0.08,05,0.05,04,0.13,02,0.06,03,0.20
20260926,21,1,1,3,5,940,逃げ,雨,1,1,,,,,940,540,210,140,01,0.16,05,0.13,04,0.24,03,0.12,02,0.16,06,0.17
20260926,21,2,4,2,1,3590,まくり差し,雨,2,2,,,,,3590,260,1270,1130,03,0.25,01,0.16,02,0.18,05,0.28,04,0.27,06,0.21
20260926,21,3,3,1,5,610,恵まれ,雨,1,1,,,,,610,190,340,210,02,0.02,04,0.14,F,F0.01,03,0.13,01,0.08,05,0.14
20260926,21,4,1,3,2,1830,逃げ,雨,0,1,,,,,1830,1020,210,130,01,0.09,06,0.07,03,0.08,04,0.05,02,0.05,05,0.05
20260926,21,5,1,2,5,1250,逃げ,雨,0,1,,,,,1250,810,190,200,01,0.16,06,0.18,02,0.17,03,0.28,05,0.14,04,0.15
20260926,21,6,1,5,6,7670,逃げ,雨,1,1,,,,,7670,3520,620,490,01,0.22,05,0.22,06,0.32,02,0.16,04,0.24,03,0.18
20260926,21,7,4,2,6,4170,まくり差し,雨,1,1,,,,,4170,1180,1140,430,04,0.28,01,0.19,02,0.27,05,0.19,06,0.63,03,0.23
20260926,21,8,2,5,1,14970,まくり,雨,1,1,,,,,14970,1400,3450,1400,03,0.16,05,0.16,01,0.09,02,0.20,06,0.25,04,0.23
20260926,21,9,5,1,2,2320,まくり差し,雨,1,1,,,,,2320,400,670,250,02,0.13,05,0.14,03,0.17,01,0.04,04,0.14,06,0.18
20260926,21,10,1,2,3,480,逃げ,雨,1,1,,,,,480,290,190,130,01,0.15,04,0.30,02,0.20,06,0.17,03,0.24,05,0.21
20260926,21,11,1,5,2,1020,逃げ,雨,1,1,,,,,1020,370,340,260,01,0.16,06,0.19,03,0.18,02,0.14,05,0.20,04,0.12
20260926,21,12,1,4,3,1350,逃げ,雨,1,1,,,,,1350,510,410,340,01,0.18,02,0.15,06,0.21,05,0.12,03,0.13,04,0.14
20260926,20,1,1,3,2,4980,逃げ,雨,1,1,,,,,4980,1280,1050,810,01,0.03,06,0.23,03,0.03,05,0.18,02,0.06,04,0.14
20260926,20,2,1,6,2,4560,逃げ,雨,1,1,,,,,4560,1520,1190,970,01,0.15,06,0.23,03,0.24,05,0.18,04,0.16,02,0.27
20260926,20,3,1,5,4,3820,逃げ,雨,1,1,,,,,3820,740,1230,980,01,0.19,03,0.16,04,0.27,02,0.15,06,0.25,05,0.18
20260926,20,4,1,3,2,1320,逃げ,雨,1,1,,,,,1320,450,340,300,01,0.06,04,0.16,03,0.04,05,0.05,02,0.05,06,0.08
20260926,20,5,3,5,4,12610,まくり,曇り,3,3,,,,,12610,3100,3110,1900,04,0.09,03,0.11,06,0.16,02,0.08,01,0.12,05,0.09
20260926,20,6,2,6,5,61650,まくり,曇り,3,3,,,,,61650,6300,10100,6880,06,0.18,05,0.07,01,0.09,03,0.06,04,0.08,02,0.22
20260926,20,7,2,3,5,3130,まくり,曇り,1,1,,,,,3130,1060,1040,490,06,0.36,04,0.26,01,0.11,03,0.25,02,0.17,05,0.24
20260926,20,8,1,3,2,630,逃げ,曇り,1,1,,,,,630,280,250,210,01,0.09,06,0.12,03,0.11,05,0.13,02,0.10,04,0.11
20260926,20,9,1,2,6,2770,抜き,曇り,3,3,,,,,2770,1390,380,320,01,0.00,05,0.09,02,0.06,06,0.11,04,0.12,03,0.02
20260926,20,10,1,2,5,2320,逃げ,曇り,1,1,,,,,2320,1010,320,270,01,0.10,05,0.18,02,0.06,03,0.16,04,0.13,06,0.18
20260926,20,11,1,5,4,4180,逃げ,曇り,1,1,,,,,4180,1200,1060,680,01,0.15,03,0.17,04,0.17,02,0.14,06,0.14,05,0.13
20260926,20,12,1,3,6,3150,逃げ,曇り,1,1,,,,,3150,1890,340,240,01,0.21,05,0.17,06,0.26,04,0.15,02,0.22,03,0.23
20260926,19,1,1,2,6,2230,逃げ,雨,1,1,,,,,2230,1050,350,280,01,0.19,06,0.28,02,0.24,05,0.29,04,0.26,03,0.27
20260926,19,2,1,2,4,1110,逃げ,雨,2,2,,,,,1110,530,430,290,01,0.17,03,0.18,02,0.18,05,0.16,06,0.17,04,0.17
20260926,19,3,2,1,5,7000,差し,雨,2,2,,,,,7000,1150,980,320,02,0.16,05,0.17,01,0.15,03,0.17,04,0.14,06,0.23
20260926,19,4,2,3,1,2740,差し,雨,2,2,,,,,2740,340,670,560,03,0.05,04,0.17,01,0.08,06,0.27,02,0.10,05,0.22
20260926,19,5,4,2,1,5550,抜き,雨,2,2,,,,,5550,270,1500,1560,03,0.18,01,0.12,02,0.15,06,0.19,04,0.12,05,0.20
