date,jcd,r,r1,r2,r3,3rt,決まり手,天候,風速,波高,水温,気温,単勝_払戻,複勝1_払戻,3連単_払戻,3連複_払戻,2連単_払戻,2連複_払戻,着順1,ST1,着順2,ST2,着順3,ST3,着順6,ST6,着順5,ST5,着順4,ST4
20260829,16,4,5,1,6,127180,まくり差し,晴,4,3,,,,,127180,13650,12380,3900,02,0.21,04,0.19,05,0.20,03,0.11,01,0.12,06,0.09
20260829,16,5,2,4,1,5440,抜き,晴,3,3,,,,,5440,330,2490,1160,03,0.17,01,0.17,04,0.18,05,0.22,06,0.24,02,0.16
20260829,16,6,1,2,4,3930,逃げ,晴,2,3,,,,,3930,720,540,700,01,0.08,02,0.09,04,0.17,06,0.14,05,0.16,03,0.12
20260829,16,7,5,2,6,5910,まくり差し,晴,4,3,,,,,5910,1690,2310,680,04,0.08,02,0.11,06,0.17,03,0.11,01,0.07,05,0.11
20260829,16,8,2,3,1,8960,まくり,晴,4,3,,,,,8960,690,3720,2470,03,0.32,01,0.20,02,0.14,04,0.09,06,0.07,05,0.12
20260829,16,9,2,3,5,23310,差し,晴,2,3,,,,,23310,6320,5050,2330,04,0.22,01,0.19,02,0.21,06,0.29,03,0.40,05,0.53
20260829,16,10,1,2,6,2100,逃げ,晴,1,3,,,,,2100,1030,540,860,01,0.17,02,0.18,06,0.16,03,0.21,04,0.20,05,0.19
20260829,16,11,1,2,3,700,逃げ,晴,2,3,,,,,700,330,360,360,01,0.18,02,0.11,03,0.11,04,0.23,06,0.22,05,0.14
20260829,16,12,3,1,5,7100,まくり差し,晴,2,3,,,,,7100,1120,1610,670,02,0.20,05,0.15,01,0.13,04,0.15,03,0.10,06,0.14
20260829,14,1,1,4,2,1620,逃げ,曇り,1,1,,,,,1620,520,350,240,01,0.15,03,0.15,04,0.19,05,0.28,06,0.29,02,0.25
20260829,14,2,3,4,6,4300,まくり,曇り,2,2,,,,,4300,1270,1170,1120,05,0.14,06,0.12,01,0.11,03,0.12,04,0.11,02,0.15
