date,jcd,r,登番1,勝率1,登番2,勝率2,登番3,勝率3,登番4,勝率4,登番5,勝率5,登番6,勝率6
20260625,07,7,4953,6.59,4664,4.34,3538,4.24,4467,6.69,4389,5.76,5268,3.99
20260625,07,8,5046,3.95,4739,6.38,4240,5.95,5346,2.62,3406,5.16,5292,3.99
20260625,07,9,4516,6.58,5245,5.02,5105,4.47,3572,5.0,4252,4.27,4857,7.05
20260625,07,10,4067,6.3,4957,5.41,3852,4.03,4485,5.12,5066,7.01,5037,5.36
20260625,07,11,4397,7.41,3710,4.69,4953,6.59,4043,5.79,5286,4.61,5376,5.01
20260625,07,12,4739,6.38,4467,6.69,4648,4.94,3613,5.94,4639,4.44,5243,5.31
20260625,08,1,4788,5.5,3340,4.35,5122,4.44,3303,4.85,3306,4.01,4054,4.69
20260625,08,2,4636,3.96,5154,4.61,3653,4.66,3297,4.4,5405,2.31,4306,4.88
20260625,08,3,5041,4.5,4663,5.66,4842,6.04,4672,4.2,4097,3.69,4103,3.44
20260625,08,4,4062,4.3,4113,4.6,5354,3.76,5009,5.19,4173,5.32,3499,6.02
20260625,08,5,4890,5.94,4797,6.97,3306,4.01,4148,6.26,5047,5.63,4958,6.4
20260625,08,6,4551,5.94,4811,4.87,3303,4.85,5405,2.31,4083,7.4,3967,4.84
20260625,08,7,4377,5.86,3297,4.4,4097,3.69,3340,4.35,3653,4.66,4663,5.66
20260625,08,8,5122,4.44,4173,5.32,4672,4.2,5154,4.61,4113,4.6,4614,6.77
20260625,08,9,5354,3.76,5047,5.63,4636,3.96,4306,4.88,5009,5.19,4148,6.26
20260625,08,10,4958,6.4,4083,7.4,4788,5.5,4062,4.3,4797,6.97,5041,4.5
20260625,08,11,3499,6.02,4890,5.94,4551,5.94,4811,4.87,4377,5.86,4842,6.04
20260625,08,12,4278,6.86,4926,7.68,4512,6.59,4052,5.87,4470,6.23,5102,4.4
20260625,09,1,4063,6.31,4106,3.82,4705,3.54,3161,4.96,3202,4.37,5433,1.77
20260625,09,2,4461,4.47,4406,4.07,3957,5.09,5228,5.92,5290,3.37,4488,6.98
20260625,09,3,4213,4.12,4549,6.01,5302,3.98,3866,4.9,5419,2.02,4604,7.27
20260625,09,4,3477,3.97,4367,4.11,5313,4.6,3557,6.57,3277,4.34,5466,1.76
20260625,09,5,4351,7.21,4270,4.68,3872,6.15,3075,4.37,5011,3.76,4272,4.92
20260625,09,6,4201,4.22,3467,4.08,4808,5.65,3202,4.37,4292,6.37,4281,5.13
20260625,09,7,3441,4.65,4374,4.55,4635,5.43,5290,3.37,5433,1.77,3679,6.46
20260625,09,8,4169,3.73,4063,6.31,3161,4.96,4461,4.47,3566,4.97,5419,2.02
20260625,09,9,3933,5.7,4604,7.27,4106,3.82,4140,6.14,3477,3.97,5228,5.92
20260625,09,10,3957,5.09,4292,6.37,3998,4.6,4351,7.21,4213,4.12,4367,4.11
20260625,09,11,4808,5.65,5240,5.23,4272,4.92,4374,4.55,3866,4.9,5313,4.6
20260625,09,12,3557,6.57,4488,6.98,4281,5.13,5011,3.76,4635,5.43,4549,6.01
20260625,12,1,3289,3.29,4853,4.06,4014,5.36,5444,1.39,4534,4.29,5435,1.36
20260625,12,2,3474,4.35,5052,4.98,5189,5.46,4347,5.94,5406,1.46,4874,5.03
20260625,12,3,4744,4.53,5334,2.77,3618,6.18,5437,1.44,4243,5.33,5250,4.27
20260625,12,4,5265,3.5,5320,2.95,5241,5.16,5148,5.58,3334,5.25,4456,6.6
20260625,12,5,4927,5.6,5144,5.15,5069,4.61,4534,4.29,5439,1.51,4938,6.72
20260625,12,6,4964,5.61,4611,6.19,5365,2.24,3289,3.29,5151,4.47,5367,1.93
20260625,12,7,5189,5.46,4994,6.27,4744,4.53,5326,5.36,5435,1.36,4878,4.51
20260625,12,8,4853,4.06,4372,5.97,4924,4.76,5406,1.46,3618,6.18,5241,5.16
20260625,12,9,4347,5.94,5173,5.13,5250,4.27,4456,6.6,5144,5.15,5444,1.39
20260625,12,10,4611,6.19,4874,5.03,4938,6.72,4940,2.78,5265,3.5,5129,5.69
20260625,12,11,4994,6.27,3334,5.25,4964,5.61,4243,5.33,4927,5.6,4014,5.36
20260625,12,12,5088,6.95,5163,6.07,4050,6.84,5281,5.67,4123,6.75,4773,6.01
20260625,13,1,5032,5.36,5293,2.74,3641,6.22,4365,5.78,4332,4.51,3567,3.14
20260625,13,2,5214,4.83,4561,6.16,3523,4.45,4260,4.97,5400,1.79,3072,4.19
20260625,13,3,3950,4.13,4158,4.89,4633,5.44,5261,4.43,3995,6.39,5460,1.65
20260625,13,4,3661,5.23,4535,6.43,3543,5.13,4725,5.06,3804,4.99,4120,5.81
20260625,13,5,4145,3.8,4949,5.76,3606,5.8,5000,4.78,4679,5.72,5393,1.48
20260625,13,6,4096,6.29,4346,4.32,3976,3.55,4593,5.96,4779,5.22,5293,2.74
20260625,13,7,4365,5.78,4513,5.7,5400,1.79,3906,4.13,4928,6.46,5336,3.24
20260625,13,8,4076,5.16,3567,3.14,4649,5.25,4364,6.01,3950,4.13,3377,4.36
20260625,13,9,4633,5.44,3226,4.35,4555,5.25,4817,6.4,5214,4.83,3543,5.13
20260625,13,10,4260,4.97,4593,5.96,5261,4.43,3661,5.23,3606,5.8,3641,6.22
20260625,13,11,4679,5.72,4120,5.81,4779,5.22,5032,5.36,4561,6.16,4158,4.89
20260625,13,12,4928,6.46,4364,6.01,3995,6.39,4096,6.29,4535,6.43,4949,5.76
20260625,14,1,4566,6.39,4266,6.92,4573,6.94,4262,7.29,4013,7.11,3779,6.45
20260625,14,2,4205,7.83,4459,6.27,4371,7.18,3721,5.94,4168,6.87,4586,6.88
20260625,14,3,4500,7.64,4502,7.23,4847,7.1,4418,7.83,4571,6.68,3783,6.79
20260625,14,4,4324,7.35,4760,7.03,4350,7.77,3716,6.99,3415,7.09,4444,6.88
20260625,14,5,4166,7.01,4547,6.9,4851,7.21,3941,7.94,4061,6.99,4337,7.49
20260625,14,6,4494,6.7,4362,6.82,5121,7.8,4686,7.17,4537,6.93,4573,6.94
20260625,14,7,4030,6.69,4168,6.87,4266,6.92,4344,7.86,4320,8.01,4719,7.42
20260625,14,8,4256,7.44,4504,6.6,4500,7.64,4445,6.62,4205,7.83,4914,7.07
20260625,14,9,3946,6.94,3897,7.47,4262,7.29,4324,7.35,4932,7.52,4571,6.68
20260625,14,10,3716,6.99,4418,7.83,4566,6.39,4061,6.99,4682,7.24,3721,5.94
20260625,14,11,4024,6.32,4537,6.93,3941,7.94,4237,7.12,4524,6.63,4503,7.68
20260625,14,12,4320,8.01,4851,7.21,4848,7.18,4502,7.23,5121,7.8,4760,7.03
20260625,15,1,5288,3.58,5211,4.31,5315,2.29,5258,4.74,5282,5.48,5237,3.76
20260625,15,2,5325,5.66,5262,4.4,5359,4.68,5186,4.44,5131,4.12,5271,3.72
20260625,15,3,5368,5.35,5143,4.06,5330,6.34,5345,3.16,5328,3.86,5147,4.44
20260625,15,4,5207,5.31,5157,4.05,5134,5.87,5308,4.47,5403,2.03,5150,6.69
20260625,15,5,5216,6.25,5318,3.66,5258,4.74,5282,5.48,5255,6.87,5201,5.48
20260625,15,6,5114,5.78,5190,4.44,5131,4.12,5276,4.55,5315,2.29,5224,7.25
20260625,15,7,5257,6.31,5328,3.86,5186,4.44,5211,4.31,5262,4.4,5018,6.58
20260625,15,8,5028,6.73,5345,3.16,5308,4.47,5403,2.03,5343,3.73,5278,7.28
20260625,15,9,5339,5.36,5330,6.34,5150,6.69,5143,4.06,5318,3.66,5359,4.68
20260625,15,10,5237,3.76,5257,6.31,5368,5.35,5255,6.87,5207,5.31,5114,5.78
20260625,15,11,5018,6.58,5224,7.25,5028,6.73,5216,6.25,5157,4.05,5325,5.66
20260625,15,12,5298,6.88,5068,7.4,5299,6.05,5221,6.61,5191,6.84,5280,7.05
20260625,16,1,4172,6.16,3712,4.72,5004,5.77,4271,4.14,4840,5.02,5404,1.89
20260625,16,2,5206,4.16,4669,5.0,4872,4.53,3832,2.17,5259,3.19,5467,2.13
20260625,16,3,4180,5.53,4146,5.76,4743,6.33,3842,4.75,4144,6.35,4518,6.93
20260625,16,4,4450,5.96,3999,6.23,3207,3.36,4443,5.49,4891,5.13,5317,4.8
20260625,16,5,4521,5.11,3422,5.96,4358,3.79,5338,4.11,4977,5.88,3489,5.72
20260625,16,6,4336,4.86,4271,4.14,4142,5.68,4832,6.59,5248,4.48,4036,6.49
20260625,16,7,3746,5.49,4840,5.02,5311,5.38,4852,7.14,4669,5.0,3233,4.35
20260625,16,8,4214,5.38,4891,5.13,3832,2.17,4846,4.44,3712,4.72,5450,1.53
20260625,16,9,4133,6.48,3895,3.96,3842,4.75,5004,5.77,4872,4.53,4443,5.49
20260625,16,10,4518,6.93,4144,6.35,4172,6.16,4521,5.11,3999,6.23,4336,4.86
20260625,16,11,4036,6.49,4977,5.88,3746,5.49,4743,6.33,4450,5.96,3422,5.96
20260625,16,12,3489,5.72,4832,6.59,4852,7.14,4142,5.68,4214,5.38,4180,5.53
20260625,18,1,3684,5.51,3432,4.22,4098,4.84,4329,4.91,4728,3.99,5421,1.49
20260625,18,2,4286,6.08,3614,4.04,3692,4.75,4108,6.5,5337,4.49,4873,5.02
20260625,18,3,3300,5.96,5107,4.52,3508,5.69,4473,5.38,3527,5.09,5407,2.21
20260625,18,4,4979,4.93,4931,6.77,3615,4.46,3581,4.94,5181,5.3,5413,1.96
20260625,18,5,3401,4.4,3805,5.09,3773,3.81,5067,5.13,4055,6.33,5464,1.31
20260625,18,6,4978,4.87,5073,5.64,3470,5.21,4520,6.12,5421,1.49,4776,6.73
20260625,18,7,4329,4.91,4505,6.32,5352,4.77,3885,5.18,4286,6.08,5456,2.05
20260625,18,8,4408,3.19,5015,6.97,5181,5.3,3583,3.24,3684,5.51,5337,4.49
20260625,18,9,4108,6.5,4733,4.96,4979,4.93,3508,5.69,3432,4.22,3805,5.09
20260625,18,10,3527,5.09,4728,3.99,5067,5.13,4873,5.02,3574,6.06,3470,5.21
20260625,18,11,3885,5.18,4098,4.84,3581,4.94,3692,4.75,5407,2.21,5073,5.64
20260625,18,12,4055,6.33,3300,5.96,4776,6.73,4931,6.77,5015,6.97,4505,6.32
20260625,21,1,4402,5.99,4315,5.05,5083,5.08,4951,5.28,4491,4.43,4068,4.61
20260625,21,2,4594,5.54,3868,4.75,4410,4.92,4288,7.32,5219,5.18,5005,6.36
20260625,21,3,3612,6.82,5124,4.4,4086,6.2,3761,5.41,4207,6.06,3930,5.14
20260625,21,4,4184,7.07,4111,5.71,4603,5.25,4515,6.12,5138,3.54,4950,6.82
20260625,21,5,4398,6.61,4274,4.38,4110,4.09,5247,4.81,4489,5.32,4526,6.22
20260625,21,6,4951,5.28,3459,3.48,5176,2.33,3703,6.1,4676,5.4,3576,6.74
20260625,21,7,3696,5.06,4422,4.36,4766,4.43,4410,4.92,4315,5.05,5409,2.02
20260625,21,8,3761,5.41,4545,6.78,5005,6.36,4068,4.61,4111,5.71,3663,5.5
20260625,21,9,4314,5.49,3930,5.14,5270,4.64,4526,6.22,3953,3.41,4603,5.25
20260625,21,10,3703,6.1,5247,4.81,4491,4.43,4950,6.82,3868,4.75,4086,6.2
20260625,21,11,4207,6.06,4676,5.4,4402,5.99,3696,5.06,4594,5.54,4515,6.12
20260625,21,12,4288,7.32,3612,6.82,3576,6.74,4184,7.07,4398,6.61,4545,6.78
20260625,22,1,3940,6.34,3752,3.98,3471,3.64,3315,4.29,5469,1.31,5394,3.2
20260625,22,2,4463,6.22,4167,3.59,5086,4.04,3054,5.36,4210,5.52,5468,1.47
20260625,22,3,4100,5.05,3843,4.94,3956,6.19,5426,1.44,5429,1.08,3362,5.21
20260625,22,4,3475,5.42,4904,4.84,3901,4.65,3211,4.06,3251,5.77,5355,2.01
20260625,22,5,3752,3.98,3497,4.78,4697,4.01,5348,4.64,3737,6.97,5386,3.2
20260625,22,6,4592,4.56,4394,5.86,4094,4.81,4000,6.12,5468,1.47,4887,5.46
20260625,22,7,4058,6.05,4463,6.22,3722,2.75,3813,6.66,5394,3.2,5429,1.08
20260625,22,8,4383,5.59,4210,5.52,4016,5.4,4100,5.05,3901,4.65,5469,1.31
20260625,22,9,3251,5.77,4396,4.97,3362,5.21,3471,3.64,4002,6.65,4167,3.59
20260625,22,10,4000,6.12,5010,5.38,3211,4.06,4697,4.01,3940,6.34,5086,4.04
20260625,22,11,3966,6.64,3475,5.42,4058,6.05,4094,4.81,3956,6.19,5348,4.64
20260625,22,12,3813,6.66,3737,6.97,3054,5.36,4383,5.59,4394,5.86,4904,4.84
20260625,23,1,4850,6.06,4615,4.43,4022,4.02,4981,4.81,4116,4.77,4835,5.02
20260625,23,2,3256,6.19,4709,5.25,3910,4.14,3935,5.1,5307,4.59,4196,3.81
20260625,23,3,4796,6.61,4902,4.93,4200,4.2,4199,6.28,5177,4.42,3867,3.44
20260625,23,4,4661,5.51,4413,5.85,4514,6.75,5417,3.59,5309,3.04,3888,5.76
20260625,23,5,4483,6.7,3882,4.76,4273,4.9,4417,5.26,5381,3.49,5453,1.71
20260625,23,6,3928,3.42,5160,5.96,4835,5.02,3439,6.04,3411,3.72,5458,1.41
20260625,23,7,3910,4.14,5210,5.26,3478,5.02,5177,4.42,4981,4.81,3158,5.7
20260625,23,8,5307,4.59,3867,3.44,4661,5.51,4116,4.77,3743,5.35,5384,1.95
20260625,23,9,5309,3.04,4196,3.81,4417,5.26,4967,6.77,4200,4.2,3949,3.55
20260625,23,10,4199,6.28,3928,3.42,4615,4.43,4709,5.25,4483,6.7,5417,3.59
20260625,23,11,3888,5.76,3478,5.02,4902,4.93,4850,6.06,3256,6.19,4273,4.9
20260625,23,12,3743,5.35,4022,4.02,3882,4.76,4514,6.75,3439,6.04,3935,5.1
