jcd,r,close_time
02,1,10:47
02,2,11:16
02,3,11:45
02,4,12:14
02,5,12:44
02,6,13:14
02,7,13:45
02,8,14:16
02,9,14:48
02,10,15:21
02,11,15:55
02,12,16:30
06,1,11:24
06,2,11:50
06,3,12:19
06,4,12:52
06,5,13:22
06,6,13:52
06,7,14:24
06,8,14:58
06,9,15:31
06,10,16:04
06,11,16:42
06,12,17:10
08,1,10:32
08,2,11:02
08,3,11:29
08,4,12:01
08,5,12:29
08,6,12:59
08,7,13:29
08,8,13:59
08,9,14:31
08,10,15:02
08,11,15:35
08,12,16:15
09,1,10:42
09,2,11:12
09,3,11:42
09,4,12:13
09,5,12:44
09,6,13:15
09,7,13:46
09,8,14:18
09,9,14:50
09,10,15:23
09,11,15:58
09,12,16:35
10,1,08:32
10,2,08:58
10,3,09:24
10,4,09:50
10,5,10:18
10,6,10:50
10,7,11:20
10,8,11:55
10,9,12:26
10,10,13:02
10,11,13:36
10,12,14:12
12,1,15:17
12,2,15:41
12,3,16:09
12,4,16:33
12,5,17:01
12,6,17:29
12,7,17:55
12,8,18:25
12,9,18:55
12,10,19:23
12,11,20:03
12,12,20:31
13,1,10:34
13,2,11:07
13,3,11:36
13,4,12:04
13,5,12:38
13,6,13:10
13,7,13:42
13,8,14:10
13,9,14:41
13,10,15:15
13,11,15:51
13,12,16:25
16,1,11:22
16,2,11:58
16,3,12:32
16,4,13:06
16,5,13:34
16,6,14:03
16,7,14:36
16,8,15:07
16,9,15:39
16,10,16:10
16,11,16:45
16,12,17:20
17,1,10:57
17,2,11:23
17,3,11:53
17,4,12:24
17,5,12:56
17,6,13:27
17,7,13:56
17,8,14:27
17,9,14:57
17,10,15:30
17,11,16:03
17,12,16:53
18,1,08:44
18,2,09:10
18,3,09:36
18,4,10:02
18,5,10:29
18,6,10:59
18,7,11:32
18,8,12:06
18,9,12:40
18,10,13:12
18,11,13:49
18,12,14:29
19,1,15:28
19,2,15:53
19,3,16:19
19,4,16:47
19,5,17:17
19,6,17:48
19,7,18:17
19,8,18:48
19,9,19:16
19,10,19:48
19,11,20:17
19,12,20:45
20,1,15:19
20,2,15:47
20,3,16:12
20,4,16:39
20,5,17:07
20,6,17:34
20,7,18:02
20,8,18:41
20,9,19:10
20,10,19:39
20,11,20:10
20,12,20:38
22,1,11:48
22,2,12:17
22,3,12:48
22,4,13:19
22,5,14:07
22,6,14:43
22,7,15:10
22,8,15:36
22,9,16:01
22,10,16:28
22,11,16:58
22,12,17:25
24,1,17:41
24,2,18:08
24,3,18:34
24,4,19:03
24,5,19:30
24,6,19:56
24,7,20:25
24,8,20:59
24,9,21:25
24,10,21:51
24,11,22:16
24,12,22:41
