date,jcd,r,登番1,勝率1,登番2,勝率2,登番3,勝率3,登番4,勝率4,登番5,勝率5,登番6,勝率6
20260622,02,1,5072,2.43,4385,3.73,3302,4.73,4300,5.26,5373,2.54,5287,3.56
20260622,02,2,4045,4.09,5297,3.67,5213,5.19,4974,5.29,4642,6.75,5013,5.5
20260622,02,3,5146,5.65,4738,5.82,4317,4.27,4117,5.88,5342,1.6,3435,6.42
20260622,02,4,5231,5.62,5117,4.37,5155,6.0,4501,5.32,5108,2.72,4387,6.78
20260622,02,5,4694,3.97,5306,2.64,5174,5.16,4746,5.31,4546,6.35,5283,2.49
20260622,02,6,5322,2.34,4479,3.73,5013,5.5,4791,5.4,4987,3.75,5045,6.5
20260622,02,7,4317,4.27,4900,4.29,5003,4.97,5213,5.19,4825,6.7,3302,4.73
20260622,02,8,4963,6.43,4998,4.3,5231,5.62,5146,5.65,5324,2.36,5264,5.08
20260622,02,9,4746,5.31,5079,4.99,4984,5.04,4045,4.09,4501,5.32,4714,4.8
20260622,02,10,5045,6.5,4642,6.75,4791,5.4,5155,6.0,4738,5.82,4694,3.97
20260622,02,11,4387,6.78,4546,6.35,4117,5.88,5003,4.97,4900,4.29,5322,2.34
20260622,02,12,3435,6.42,4825,6.7,4974,5.29,5174,5.16,5117,4.37,4963,6.43
20260622,05,1,3681,4.63,4944,4.07,5304,2.08,4407,5.13,4293,4.89,3948,4.11
20260622,05,2,4186,3.47,3656,5.18,3863,4.65,3814,5.09,5049,5.94,4081,4.63
20260622,05,3,4339,3.87,3463,4.96,3831,4.62,5234,7.07,4626,4.48,5135,3.88
20260622,05,4,5109,5.16,3772,4.82,4877,5.89,5074,4.49,4128,5.56,5095,6.38
20260622,05,5,4558,4.76,4295,7.17,3771,5.12,5035,5.64,4401,5.54,4731,5.1
20260622,05,6,3814,5.09,4197,3.76,4539,6.63,4253,4.1,4944,4.07,3983,6.66
20260622,05,7,4124,6.03,4626,4.48,5341,3.08,4186,3.47,5432,2.66,4298,5.77
20260622,05,8,5074,4.49,4293,4.89,4407,5.13,3463,4.96,3772,4.82,5422,1.42
20260622,05,9,5095,6.38,4081,4.63,5135,3.88,4731,5.1,3771,5.12,3863,4.65
20260622,05,10,3983,6.66,4401,5.54,5234,7.07,4877,5.89,4295,7.17,5109,5.16
20260622,05,11,4298,5.77,5049,5.94,4128,5.56,4539,6.63,3656,5.18,4124,6.03
20260622,05,12,4762,7.02,5141,6.77,4360,5.69,4933,6.41,4790,6.3,4925,5.36
20260622,06,1,4380,4.56,4395,5.15,4327,3.92,5366,1.34,4247,5.28,3293,3.4
20260622,06,2,3313,4.48,4930,5.85,4819,5.58,4102,6.42,3896,5.49,4484,4.68
20260622,06,3,5357,1.64,4019,6.75,3905,6.49,3860,3.79,3333,6.18,4618,5.2
20260622,06,4,4361,7.17,3502,5.89,3224,3.77,3987,6.11,4382,5.06,5254,4.05
20260622,06,5,5060,5.95,4737,7.55,3623,7.55,4012,5.96,4395,5.15,5454,1.4
20260622,06,6,5344,4.46,4356,5.04,3896,5.49,4789,5.82,3952,6.65,5366,1.34
20260622,06,7,5185,5.24,3905,6.49,5106,5.41,4903,6.67,4478,6.54,4208,7.1
20260622,06,8,4930,5.85,4003,5.6,4023,4.0,4856,7.07,4380,4.56,5182,4.92
20260622,06,9,3385,5.43,4247,5.28,4012,5.96,5254,4.05,4019,6.75,4102,6.42
20260622,06,10,3548,5.33,4618,5.2,3952,6.65,4382,5.06,4737,7.55,4391,6.43
20260622,06,11,3623,7.55,3333,6.18,4356,5.04,3502,5.89,4819,5.58,4327,3.92
20260622,06,12,4856,7.07,4484,4.68,4789,5.82,4361,7.17,3860,3.79,4903,6.67
20260622,08,1,4842,6.04,4890,5.94,4103,3.44,4173,5.32,4836,5.71,3297,4.4
20260622,08,2,3653,4.66,5009,5.19,4148,6.26,4512,6.59,5405,2.31,3967,4.84
20260622,08,3,3305,3.96,3499,6.02,5047,5.63,4470,6.23,5354,3.76,4062,4.3
20260622,08,4,4097,3.69,4054,4.69,4551,5.94,4811,4.87,4663,5.66,4278,6.86
20260622,08,5,3340,4.35,4083,7.4,4842,6.04,3306,4.01,5122,4.44,4306,4.88
20260622,08,6,4614,6.77,3967,4.84,4672,4.2,5154,4.61,4788,5.5,4113,4.6
20260622,08,7,5047,5.63,5102,4.4,4377,5.86,5405,2.31,4052,5.87,4890,5.94
20260622,08,8,5009,5.19,4926,7.68,4636,3.96,4097,3.69,4103,3.44,3499,6.02
20260622,08,9,4551,5.94,4512,6.59,3303,4.85,4836,5.71,3306,4.01,4958,6.4
20260622,08,10,4173,5.32,4306,4.88,5041,4.5,4614,6.77,3305,3.96,4811,4.87
20260622,08,11,4797,6.97,4062,4.3,4278,6.86,3653,4.66,4113,4.6,4377,5.86
20260622,08,12,4470,6.23,4636,3.96,3297,4.4,4052,5.87,5154,4.61,4083,7.4
20260622,10,1,4732,6.57,5085,5.37,3827,4.0,4405,4.34,4727,4.01,5347,1.77
20260622,10,2,4190,6.9,4466,5.88,3507,4.15,5061,3.02,5204,4.17,5356,4.62
20260622,10,3,4886,5.8,4693,4.24,4589,5.02,5183,4.9,3718,4.38,4031,4.71
20260622,10,4,4706,6.1,5036,5.31,4876,4.59,4793,6.47,4482,6.51,4837,4.33
20260622,10,5,4700,6.15,4421,3.4,4812,7.13,4727,4.01,5321,5.01,3841,6.02
20260622,10,6,3564,4.4,3965,6.2,5356,4.62,4033,6.11,4089,5.96,3505,5.42
20260622,10,7,3507,4.15,4761,5.75,4031,4.71,4732,6.57,5416,2.58,3833,6.3
20260622,10,8,4864,3.73,4610,6.17,3742,4.92,4589,5.02,4190,6.9,3827,4.0
20260622,10,9,4866,3.77,3718,4.38,5347,1.77,4482,6.51,4421,3.4,4466,5.88
20260622,10,10,5061,3.02,4089,5.96,5085,5.37,4886,5.8,4700,6.15,5272,4.47
20260622,10,11,3790,4.69,3833,6.3,3965,6.2,3841,6.02,4793,6.47,4405,4.34
20260622,10,12,4033,6.11,5183,4.9,4706,6.1,4812,7.13,3742,4.92,4761,5.75
20260622,11,1,5323,4.3,3701,4.04,4498,5.4,4139,4.38,3891,3.57,4843,4.62
20260622,11,2,5156,4.4,5139,6.36,4155,6.03,3869,3.95,3503,3.74,5295,4.81
20260622,11,3,3212,4.84,4674,5.17,4666,3.82,4400,4.13,4643,6.98,3319,5.41
20260622,11,4,4138,4.84,3436,5.84,3730,5.08,4823,6.94,5380,1.22,4487,4.8
20260622,11,5,4563,4.06,4458,5.25,5058,6.9,3891,3.57,4294,6.23,5471,1.33
20260622,11,6,5229,5.13,3726,5.17,3809,4.14,4090,4.94,3701,4.04,5295,4.81
20260622,11,7,3412,6.74,3282,4.63,4544,7.58,4498,5.4,4257,4.36,4400,4.13
20260622,11,8,4666,3.82,4942,5.35,3503,3.74,5323,4.3,4730,5.15,3708,4.87
20260622,11,9,4823,6.94,4495,4.86,4139,4.38,4674,5.17,4563,4.06,4004,5.25
20260622,11,10,4469,5.97,4182,4.92,4843,4.62,5058,6.9,3726,5.17,5139,6.36
20260622,11,11,4155,6.03,4544,7.58,4294,6.23,3809,4.14,3436,5.84,4175,5.93
20260622,11,12,4643,6.98,4090,4.94,5156,4.4,3412,6.74,4458,5.25,4942,5.35
20260622,13,1,3392,4.38,4010,3.96,4297,6.31,3474,4.39,5123,4.36,5425,1.32
20260622,13,2,4449,3.69,3591,3.3,3977,4.47,5434,2.73,3352,4.51,3535,4.03
20260622,13,3,5158,6.84,4239,6.43,3294,4.36,4511,4.85,3859,4.43,5140,4.86
20260622,13,4,4680,5.78,4393,4.25,3748,4.41,4607,5.77,4215,5.53,3268,4.43
20260622,13,5,5123,4.36,3580,3.86,3474,4.39,5205,5.88,5153,4.06,3900,6.17
20260622,13,6,4787,7.0,5247,4.67,3591,3.3,4522,5.81,3392,4.38,4041,4.43
20260622,13,7,5092,6.21,4511,4.85,4163,5.25,3294,4.36,3977,4.47,3878,4.39
20260622,13,8,3535,4.03,4215,5.53,3859,4.43,4010,3.96,3748,4.41,3686,6.12
20260622,13,9,4607,5.77,5153,4.06,4449,3.69,5140,4.86,3580,3.86,5434,2.73
20260622,13,10,5247,4.67,5158,6.84,4393,4.25,4297,6.31,4787,7.0,3352,4.51
20260622,13,11,5205,5.88,5092,6.21,4522,5.81,4239,6.43,4163,5.25,4680,5.78
20260622,13,12,4769,6.5,4798,6.38,4601,6.64,4446,6.77,4496,6.64,4109,5.91
20260622,15,1,5143,4.06,5271,3.72,5147,4.44,5190,4.44,5345,3.16,5431,1.59
20260622,15,2,5288,3.58,5299,6.05,5134,5.87,5150,6.69,5207,5.31,5157,4.05
20260622,15,3,5315,2.29,5211,4.31,5298,6.88,5403,2.03,5258,4.74,5018,6.58
20260622,15,4,5131,4.12,5325,5.66,5257,6.31,5359,4.68,5237,3.76,5201,5.48
20260622,15,5,5368,5.35,5343,3.73,5282,5.48,5068,7.4,5216,6.25,5276,4.55
20260622,15,6,5318,3.66,5339,5.36,5191,6.84,5308,4.47,5280,7.05,5345,3.16
20260622,15,7,5134,5.87,5330,6.34,5262,4.4,5224,7.25,5403,2.03,5328,3.86
