date,jcd,r,登番1,級別1,年齢1,体重1,勝率1,全国2率1,当地勝率1,当地2率1,モーター番号1,モーター2率1,ボート番号1,ボート2率1,登番2,級別2,年齢2,体重2,勝率2,全国2率2,当地勝率2,当地2率2,モーター番号2,モーター2率2,ボート番号2,ボート2率2,登番3,級別3,年齢3,体重3,勝率3,全国2率3,当地勝率3,当地2率3,モーター番号3,モーター2率3,ボート番号3,ボート2率3,登番4,級別4,年齢4,体重4,勝率4,全国2率4,当地勝率4,当地2率4,モーター番号4,モーター2率4,ボート番号4,ボート2率4,登番5,級別5,年齢5,体重5,勝率5,全国2率5,当地勝率5,当地2率5,モーター番号5,モーター2率5,ボート番号5,ボート2率5,登番6,級別6,年齢6,体重6,勝率6,全国2率6,当地勝率6,当地2率6,モーター番号6,モーター2率6,ボート番号6,ボート2率6
20260726,23,11,4362,A1,41.0,53.0,6.7,46.43,6.88,43.75,37,33.67,16,39.02,4289,A2,41.0,49.0,5.59,36.79,4.57,21.43,21,33.51,35,38.3,4216,B1,41.0,54.0,4.53,23.16,5.33,33.33,10,37.44,42,27.27,4411,A2,40.0,55.0,5.65,36.92,6.25,43.75,23,23.08,19,35.48,5140,B1,25.0,47.0,4.77,25.32,4.93,26.67,48,29.71,38,37.21,3987,A1,48.0,54.0,6.18,42.86,6.74,52.63,53,21.51,3,34.88
20260726,23,12,4497,A1,39.0,53.0,7.39,56.0,7.11,48.15,50,38.69,33,14.29,5267,A1,25.0,52.0,6.69,47.75,6.4,50.0,22,38.83,56,32.95,4252,B1,43.0,51.0,4.39,20.43,4.16,20.69,58,32.47,25,21.59,4950,A1,33.0,52.0,6.65,52.07,3.67,11.11,5,37.08,57,30.49,4102,A1,47.0,52.0,6.38,49.24,7.08,50.98,13,29.13,2,35.16,4218,A1,44.0,51.0,6.38,50.0,5.0,33.33,11,30.0,37,36.36
20260726,21,1,4376,A2,42.0,52.0,5.87,44.09,6.15,44.12,45,30.26,69,28.57,4562,B1,38.0,54.0,4.87,24.3,4.04,15.38,22,41.67,63,33.87,4416,B1,39.0,54.0,5.39,34.69,5.92,39.62,25,14.29,53,43.66,3268,B1,61.0,53.0,4.59,28.57,5.0,12.5,23,31.67,51,35.94,5263,B1,27.0,52.0,4.19,18.89,3.37,15.25,2,33.87,54,40.91,5100,B1,29.0,57.0,4.66,28.57,0.0,0.0,28,30.14,48,22.5
20260726,21,2,4522,A2,38.0,54.0,6.05,45.08,7.26,54.29,18,25.0,37,34.33,4336,B1,42.0,54.0,4.7,26.6,5.2,27.78,56,45.0,17,35.94,5101,B1,29.0,55.0,3.37,6.78,3.65,15.0,43,50.77,19,21.31,4436,A1,40.0,52.0,6.3,47.0,6.92,66.67,21,42.86,55,41.1,4501,B1,38.0,44.0,5.22,33.03,4.74,31.58,16,22.54,68,30.65,5293,B1,24.0,52.0,3.2,14.55,2.78,11.11,5,32.73,59,47.54
20260726,21,3,4027,A2,48.0,56.0,5.74,37.63,5.21,25.58,57,38.71,42,28.07,4660,B1,35.0,53.0,4.15,22.5,0.0,0.0,37,32.43,58,32.2,4420,A2,38.0,53.0,5.86,38.17,5.95,40.0,31,38.36,65,26.98,3842,B1,50.0,54.0,4.62,26.32,4.44,22.22,59,28.33,40,29.85,3623,A1,52.0,51.0,7.57,64.1,7.53,63.16,9,27.27,18,26.47,4694,B1,41.0,44.0,4.37,21.13,5.44,27.78,15,33.33,43,38.16
20260726,21,4,4373,A1,38.0,47.0,6.37,45.0,6.3,45.45,17,29.17,44,50.67,5369,B1,24.0,52.0,3.16,12.66,2.09,4.35,46,26.56,27,43.28,4879,B1,31.0,52.0,5.02,34.12,4.42,25.0,40,23.19,31,31.82,3282,B1,59.0,52.0,4.73,26.92,5.33,29.17,24,20.9,35,37.88,5239,B1,26.0,52.0,5.27,29.07,3.48,7.41,55,48.21,56,34.38,5227,B2,24.0,52.0,2.71,14.29,0.0,0.0,8,44.26,16,34.85
20260726,21,5,3898,A1,49.0,55.0,7.03,53.4,6.83,53.33,60,38.6,38,36.49,4882,B2,30.0,49.0,2.44,6.25,2.67,6.67,42,27.78,28,11.27,5248,B1,24.0,48.0,4.78,25.29,4.38,37.5,53,30.65,25,33.33,4945,B1,34.0,54.0,4.0,14.13,4.44,18.52,30,35.21,61,38.33,3305,B1,58.0,53.0,4.04,20.27,4.19,26.92,58,22.03,57,37.14,3582,A2,53.0,54.0,6.08,45.71,6.23,46.81,48,38.1,52,26.98
20260726,21,6,4969,B1,35.0,53.0,4.51,20.65,4.29,26.47,54,33.33,14,46.88,3435,A2,57.0,44.0,6.58,45.97,6.72,53.49,26,22.22,15,33.8,4562,B1,38.0,54.0,4.87,24.3,4.04,15.38,22,41.67,63,33.87,4336,B1,42.0,54.0,4.7,26.6,5.2,27.78,56,45.0,17,35.94,3616,B1,53.0,54.0,4.62,27.16,6.06,41.43,35,51.56,23,25.0,4352,A1,40.0,52.0,6.55,46.77,0.0,0.0,6,24.24,34,31.15
20260726,21,7,5101,B1,29.0,55.0,3.37,6.78,3.65,15.0,43,50.77,19,21.31,5283,B2,22.0,48.0,2.36,4.11,0.83,0.0,39,40.0,70,34.38,5263,B1,27.0,52.0,4.19,18.89,3.37,15.25,2,33.87,54,40.91,3584,B1,53.0,54.0,5.03,34.31,4.29,25.0,20,16.67,33,33.85,4660,B1,35.0,53.0,4.15,22.5,0.0,0.0,37,32.43,58,32.2,4197,B1,44.0,55.0,3.78,16.84,0.0,0.0,51,38.46,47,21.05
20260726,21,8,3834,B1,51.0,56.0,4.11,25.3,0.0,0.0,49,20.97,36,39.73,4436,A1,40.0,52.0,6.3,47.0,6.92,66.67,21,42.86,55,41.1,3842,B1,50.0,54.0,4.62,26.32,4.44,22.22,59,28.33,40,29.85,4416,B1,39.0,54.0,5.39,34.69,5.92,39.62,25,14.29,53,43.66,4879,B1,31.0,52.0,5.02,34.12,4.42,25.0,40,23.19,31,31.82,3623,A1,52.0,51.0,7.57,64.1,7.53,63.16,9,27.27,18,26.47
20260726,21,9,5239,B1,26.0,52.0,5.27,29.07,3.48,7.41,55,48.21,56,34.38,4798,A1,33.0,52.0,6.38,44.44,7.25,50.0,38,28.57,49,42.25,5293,B1,24.0,52.0,3.2,14.55,2.78,11.11,5,32.73,59,47.54,5369,B1,24.0,52.0,3.16,12.66,2.09,4.35,46,26.56,27,43.28,3268,B1,61.0,53.0,4.59,28.57,5.0,12.5,23,31.67,51,35.94,4120,A2,45.0,52.0,6.06,45.24,5.07,29.63,36,27.85,22,38.1
20260726,21,10,4501,B1,38.0,44.0,5.22,33.03,4.74,31.58,16,22.54,68,30.65,5227,B2,24.0,52.0,2.71,14.29,0.0,0.0,8,44.26,16,34.85,3435,A2,57.0,44.0,6.58,45.97,6.72,53.49,26,22.22,15,33.8,4694,B1,41.0,44.0,4.37,21.13,5.44,27.78,15,33.33,43,38.16,5248,B1,24.0,48.0,4.78,25.29,4.38,37.5,53,30.65,25,33.33,4882,B2,30.0,49.0,2.44,6.25,2.67,6.67,42,27.78,28,11.27
20260726,21,11,4420,A2,38.0,53.0,5.86,38.17,5.95,40.0,31,38.36,65,26.98,4945,B1,34.0,54.0,4.0,14.13,4.44,18.52,30,35.21,61,38.33,3616,B1,53.0,54.0,4.62,27.16,6.06,41.43,35,51.56,23,25.0,4027,A2,48.0,56.0,5.74,37.63,5.21,25.58,57,38.71,42,28.07,3898,A1,49.0,55.0,7.03,53.4,6.83,53.33,60,38.6,38,36.49,3746,A2,51.0,53.0,5.7,36.15,5.88,41.18,44,32.39,32,30.0
20260726,21,12,3918,A1,51.0,51.0,6.7,47.5,6.6,48.94,52,35.0,13,41.1,3584,B1,53.0,54.0,5.03,34.31,4.29,25.0,20,16.67,33,33.85,4373,A1,38.0,47.0,6.37,45.0,6.3,45.45,17,29.17,44,50.67,4522,A2,38.0,54.0,6.05,45.08,7.26,54.29,18,25.0,37,34.33,4376,A2,42.0,52.0,5.87,44.09,6.15,44.12,45,30.26,69,28.57,4969,B1,35.0,53.0,4.51,20.65,4.29,26.47,54,33.33,14,46.88
20260726,20,1,4196,B1,44.0,53.0,3.76,19.8,4.59,29.63,60,30.94,48,48.15,5398,B1,24.0,53.0,4.17,20.87,3.39,11.76,28,30.22,33,31.82,5268,B1,25.0,56.0,4.08,21.79,3.23,18.75,25,42.66,70,45.16,4145,B1,44.0,54.0,3.92,16.48,3.52,14.29,56,23.53,19,19.35,5412,B2,20.0,43.0,1.61,1.22,1.48,0.0,14,36.55,28,30.77,4327,B1,43.0,52.0,3.87,18.95,3.44,11.11,32,34.44,29,22.22
20260726,20,2,3932,B1,50.0,51.0,4.68,33.33,4.89,33.33,26,31.47,24,34.38,4705,B1,37.0,56.0,3.41,17.31,5.03,37.93,3,36.05,42,10.34,5370,B2,24.0,48.0,1.31,3.13,1.06,0.0,1,28.77,45,35.71,4530,A1,37.0,46.0,7.25,56.44,6.7,54.05,31,31.65,52,16.0,5093,B2,24.0,58.0,4.02,27.27,4.95,29.27,20,39.42,35,39.39,4366,A1,40.0,55.0,6.77,48.48,6.97,61.29,12,32.41,75,31.82
20260726,20,3,4442,B1,39.0,53.0,6.1,47.71,5.13,37.5,11,25.34,32,22.73,3947,B1,50.0,49.0,4.52,18.75,3.33,16.67,36,32.0,64,16.67,5358,B2,20.0,49.0,2.38,3.13,2.39,3.23,58,30.43,11,40.74,4785,B1,38.0,52.0,4.29,17.86,4.29,0.0,35,41.72,55,32.0,4188,A1,45.0,52.0,7.8,62.71,6.58,33.33,19,35.66,39,34.78,4372,A2,38.0,46.0,6.16,44.44,3.29,14.29,10,25.68,54,37.04
20260726,20,4,4247,B1,44.0,56.0,5.2,28.0,5.48,41.38,17,28.57,23,55.56,4615,B1,46.0,52.0,4.35,23.08,4.22,18.75,24,32.35,50,33.33,3859,B1,53.0,51.0,4.21,23.4,0.0,0.0,7,27.78,61,25.0,4168,A1,44.0,52.0,6.98,47.22,6.72,50.0,53,28.46,30,26.67,5270,B1,25.0,53.0,4.48,22.92,3.4,15.0,34,37.09,71,57.69,3489,A2,59.0,53.0,5.81,39.26,5.98,47.5,41,34.64,44,56.0
20260726,20,5,4762,A1,36.0,50.0,7.28,53.54,9.1,90.0,55,17.46,63,21.88,4259,A2,42.0,54.0,5.52,35.71,5.04,34.62,51,45.59,59,7.14,4325,B1,43.0,52.0,4.52,20.48,0.0,0.0,43,34.44,51,41.38,5002,A2,30.0,51.0,5.71,37.72,6.53,46.67,23,41.73,68,47.22,5320,B1,25.0,48.0,3.31,12.94,3.44,11.11,48,35.25,43,37.04,5412,B2,20.0,43.0,1.61,1.22,1.48,0.0,14,36.55,28,30.77
20260726,20,6,3841,A2,50.0,55.0,6.2,45.53,6.39,43.48,5,44.52,62,30.0,5070,B1,32.0,53.0,3.77,18.92,4.11,21.05,2,35.62,14,26.09,4779,B1,40.0,52.0,5.35,30.53,4.44,31.25,39,42.57,27,44.83,5157,B1,28.0,55.0,4.13,25.29,4.6,20.0,15,35.42,18,12.0,5370,B2,24.0,48.0,1.31,3.13,1.06,0.0,1,28.77,45,35.71,4504,A1,38.0,56.0,6.59,46.3,7.38,57.58,61,30.5,25,37.5
20260726,20,7,4287,A2,41.0,56.0,6.26,42.16,6.54,48.6,13,33.57,20,37.04,5093,B2,24.0,58.0,4.02,27.27,4.95,29.27,20,39.42,35,39.39,3519,B1,58.0,51.0,4.09,15.79,4.3,10.0,16,25.19,40,31.82,4196,B1,44.0,53.0,3.76,19.8,4.59,29.63,60,30.94,48,48.15,5358,B2,20.0,49.0,2.38,3.13,2.39,3.23,58,30.43,11,40.74,4819,A2,35.0,46.0,5.06,29.91,5.6,40.0,33,32.0,21,32.26
20260726,20,8,4079,A2,47.0,53.0,5.73,35.04,6.02,44.32,50,33.09,73,10.53,3942,A1,47.0,55.0,6.94,55.34,7.4,51.43,29,28.47,41,59.26,5050,A2,31.0,52.0,5.69,40.48,0.0,0.0,57,31.06,67,40.0,4128,B1,46.0,56.0,5.51,34.18,5.55,37.93,40,35.33,66,13.64,4442,B1,39.0,53.0,6.1,47.71,5.13,37.5,11,25.34,32,22.73,4145,B1,44.0,54.0,3.92,16.48,3.52,14.29,56,23.53,19,19.35
20260726,20,9,4890,A2,37.0,52.0,6.0,39.8,4.79,21.05,37,28.77,22,25.0,5268,B1,25.0,56.0,4.08,21.79,3.23,18.75,25,42.66,70,45.16,4850,A2,31.0,53.0,6.06,38.46,0.0,0.0,38,30.82,46,32.0,4615,B1,46.0,52.0,4.35,23.08,4.22,18.75,24,32.35,50,33.33,4705,B1,37.0,56.0,3.41,17.31,5.03,37.93,3,36.05,42,10.34,3947,B1,50.0,49.0,4.52,18.75,3.33,16.67,36,32.0,64,16.67
20260726,20,10,4530,A1,37.0,46.0,7.25,56.44,6.7,54.05,31,31.65,52,16.0,4247,B1,44.0,56.0,5.2,28.0,5.48,41.38,17,28.57,23,55.56,4785,B1,38.0,52.0,4.29,17.86,4.29,0.0,35,41.72,55,32.0,4762,A1,36.0,50.0,7.28,53.54,9.1,90.0,55,17.46,63,21.88,5398,B1,24.0,53.0,4.17,20.87,3.39,11.76,28,30.22,33,31.82,4779,B1,40.0,52.0,5.35,30.53,4.44,31.25,39,42.57,27,44.83
20260726,20,11,5002,A2,30.0,51.0,5.71,37.72,6.53,46.67,23,41.73,68,47.22,4327,B1,43.0,52.0,3.87,18.95,3.44,11.11,32,34.44,29,22.22,4188,A1,45.0,52.0,7.8,62.71,6.58,33.33,19,35.66,39,34.78,3841,A2,50.0,55.0,6.2,45.53,6.39,43.48,5,44.52,62,30.0,3932,B1,50.0,51.0,4.68,33.33,4.89,33.33,26,31.47,24,34.38,3859,B1,53.0,51.0,4.21,23.4,0.0,0.0,7,27.78,61,25.0
20260726,20,12,4168,A1,44.0,52.0,6.98,47.22,6.72,50.0,53,28.46,30,26.67,3519,B1,58.0,51.0,4.09,15.79,4.3,10.0,16,25.19,40,31.82,5157,B1,28.0,55.0,4.13,25.29,4.6,20.0,15,35.42,18,12.0,4372,A2,38.0,46.0,6.16,44.44,3.29,14.29,10,25.68,54,37.04,4259,A2,42.0,54.0,5.52,35.71,5.04,34.62,51,45.59,59,7.14,5050,A2,31.0,52.0,5.69,40.48,0.0,0.0,57,31.06,67,40.0
20260726,17,1,4706,A2,37.0,51.0,5.72,41.6,5.0,20.0,67,34.67,12,36.26,4555,B1,37.0,53.0,5.23,33.33,6.32,48.39,55,38.5,20,32.16,4565,B1,38.0,55.0,3.94,12.87,0.0,0.0,39,33.68,57,36.41,5020,B1,34.0,55.0,4.77,27.47,3.13,12.5,20,29.57,32,34.5,3757,A2,54.0,52.0,5.47,34.67,5.62,35.9,29,30.68,71,31.43,5420,B2,20.0,52.0,2.04,0.0,0.8,0.0,60,36.59,70,28.36
20260726,17,2,4708,B1,37.0,55.0,3.81,13.51,4.65,23.44,58,43.81,51,37.5,4638,B1,35.0,54.0,5.43,34.62,4.67,16.67,36,33.17,23,33.33,4835,B1,38.0,54.0,5.01,25.96,4.92,23.26,66,43.18,29,46.89,4422,B1,37.0,53.0,4.29,25.88,4.81,37.84,21,41.84,35,38.78,5336,B1,20.0,55.0,3.53,14.14,1.47,0.0,81,32.58,16,40.1,4405,B1,41.0,53.0,4.69,22.34,6.6,50.0,18,36.13,24,31.22
20260726,17,3,3211,B1,64.0,53.0,4.2,16.0,3.42,11.54,16,35.96,65,32.5,4191,A1,45.0,53.0,6.28,48.6,5.33,33.33,30,41.21,63,37.76,4715,A1,34.0,53.0,6.04,36.11,6.55,52.38,11,37.5,55,24.84,4930,A2,30.0,54.0,5.95,39.42,5.41,29.63,57,37.63,81,28.47,4982,B1,29.0,55.0,4.66,27.14,6.91,63.64,13,26.09,78,40.31,4866,B1,36.0,54.0,3.99,15.79,4.29,21.43,78,29.47,75,30.61
20260726,17,4,4446,A1,39.0,52.0,6.81,49.55,7.26,60.0,38,49.02,33,26.09,4672,B1,40.0,52.0,4.35,24.76,5.44,33.33,82,31.28,68,36.04,4066,A2,46.0,54.0,6.18,41.38,7.27,54.55,72,45.26,76,35.35,3776,B1,51.0,58.0,3.47,11.83,3.0,13.33,17,43.65,38,34.33,4094,B1,45.0,53.0,4.97,33.33,4.58,22.92,65,41.09,21,34.0,4109,A2,46.0,54.0,5.5,32.28,6.0,35.0,24,33.33,77,34.31
20260726,17,5,4580,B1,37.0,53.0,5.62,38.2,5.19,42.86,79,35.0,56,32.32,4904,B1,31.0,52.0,5.3,34.4,5.0,30.23,70,36.21,58,37.56,3777,A2,50.0,52.0,5.79,40.71,5.1,38.1,59,31.05,34,28.57,4179,A2,43.0,52.0,5.38,33.65,5.55,40.0,54,35.38,26,26.67,4703,A1,38.0,52.0,6.9,60.0,5.56,29.63,33,34.69,64,29.77,5457,B2,20.0,51.0,1.07,0.0,0.0,0.0,56,34.04,14,30.23
20260726,17,6,3976,B1,49.0,53.0,3.38,15.56,3.65,22.58,51,37.31,61,35.08,3574,A1,53.0,53.0,6.17,48.54,5.62,42.86,23,31.87,13,34.1,4555,B1,37.0,53.0,5.23,33.33,6.32,48.39,55,38.5,20,32.16,4786,A1,38.0,55.0,6.63,54.48,7.32,64.29,73,27.33,18,35.5,4215,A2,41.0,56.0,5.27,31.53,6.52,44.44,27,30.98,30,27.5,5448,B2,23.0,50.0,1.16,0.0,0.0,0.0,35,27.65,22,34.3
20260726,17,7,4943,B1,35.0,55.0,4.3,17.5,3.9,20.0,71,33.91,79,30.46,4600,A1,41.0,51.0,6.39,46.0,6.88,50.79,52,32.84,36,32.71,3833,A2,51.0,54.0,6.24,46.43,7.09,58.82,32,43.46,53,31.25,5420,B2,20.0,52.0,2.04,0.0,0.8,0.0,60,36.59,70,28.36,4638,B1,35.0,54.0,5.43,34.62,4.67,16.67,36,33.17,23,33.33,4674,B1,38.0,52.0,5.14,30.63,5.98,40.48,15,34.2,69,29.21
20260726,17,8,3757,A2,54.0,52.0,5.47,34.67,5.62,35.9,29,30.68,71,31.43,4161,B1,44.0,56.0,5.34,34.38,6.0,35.48,25,40.2,54,28.64,5336,B1,20.0,55.0,3.53,14.14,1.47,0.0,81,32.58,16,40.1,4652,B1,41.0,50.0,4.54,21.18,6.28,37.93,53,30.93,31,27.39,4930,A2,30.0,54.0,5.95,39.42,5.41,29.63,57,37.63,81,28.47,3891,B1,50.0,55.0,3.55,14.56,3.2,13.33,34,37.99,67,35.24
20260726,17,9,4066,A2,46.0,54.0,6.18,41.38,7.27,54.55,72,45.26,76,35.35,4405,B1,41.0,53.0,4.69,22.34,6.6,50.0,18,36.13,24,31.22,4299,B1,43.0,56.0,4.33,18.75,2.88,6.25,37,42.63,73,35.92,4866,B1,36.0,54.0,3.99,15.79,4.29,21.43,78,29.47,75,30.61,4351,A1,40.0,54.0,6.92,52.05,7.06,54.29,63,31.38,59,34.52,4565,B1,38.0,55.0,3.94,12.87,0.0,0.0,39,33.68,57,36.41
20260726,17,10,4672,B1,40.0,52.0,4.35,24.76,5.44,33.33,82,31.28,68,36.04,4276,A2,43.0,53.0,5.72,40.57,6.05,52.63,61,35.79,37,36.87,3211,B1,64.0,53.0,4.2,16.0,3.42,11.54,16,35.96,65,32.5,3777,A2,50.0,52.0,5.79,40.71,5.1,38.1,59,31.05,34,28.57,4835,B1,38.0,54.0,5.01,25.96,4.92,23.26,66,43.18,29,46.89,5020,B1,34.0,55.0,4.77,27.47,3.13,12.5,20,29.57,32,34.5
20260726,17,11,4703,A1,38.0,52.0,6.9,60.0,5.56,29.63,33,34.69,64,29.77,4706,A2,37.0,51.0,5.72,41.6,5.0,20.0,67,34.67,12,36.26,4446,A1,39.0,52.0,6.81,49.55,7.26,60.0,38,49.02,33,26.09,4215,A2,41.0,56.0,5.27,31.53,6.52,44.44,27,30.98,30,27.5,4422,B1,37.0,53.0,4.29,25.88,4.81,37.84,21,41.84,35,38.78,4191,A1,45.0,53.0,6.28,48.6,5.33,33.33,30,41.21,63,37.76
20260726,17,12,4715,A1,34.0,53.0,6.04,36.11,6.55,52.38,11,37.5,55,24.84,4109,A2,46.0,54.0,5.5,32.28,6.0,35.0,24,33.33,77,34.31,3574,A1,53.0,53.0,6.17,48.54,5.62,42.86,23,31.87,13,34.1,4600,A1,41.0,51.0,6.39,46.0,6.88,50.79,52,32.84,36,32.71,4161,B1,44.0,56.0,5.34,34.38,6.0,35.48,25,40.2,54,28.64,4179,A2,43.0,52.0,5.38,33.65,5.55,40.0,54,35.38,26,26.67
20260726,14,1,3792,A1,53.0,55.0,6.0,42.17,5.74,36.84,63,32.14,52,36.21,4390,B1,40.0,52.0,4.38,20.0,4.57,22.97,56,28.3,79,18.18,3906,B1,48.0,62.0,4.04,23.76,4.22,19.57,11,33.33,36,21.57,4176,B2,43.0,54.0,3.34,17.07,4.25,25.0,75,22.92,22,24.53,3660,B1,57.0,60.0,3.18,9.72,3.49,11.76,13,25.53,25,22.0,5421,B2,24.0,52.0,1.31,1.96,0.0,0.0,76,33.33,75,46.15
20260726,14,2,4121,A2,44.0,53.0,5.99,46.15,5.52,33.33,19,34.62,78,29.63,5366,B2,24.0,56.0,1.34,1.47,1.04,0.0,81,25.0,81,34.48,4483,A1,37.0,53.0,6.73,50.86,6.5,50.0,69,28.0,30,15.25,4342,A2,41.0,54.0,6.06,35.79,7.17,63.89,31,40.0,73,13.33,4404,B1,41.0,55.0,3.74,13.41,3.82,23.53,17,34.55,38,29.17,3156,B1,61.0,55.0,4.49,26.37,4.0,25.0,39,14.0,55,33.33
