date,jcd,r,登番1,勝率1,登番2,勝率2,登番3,勝率3,登番4,勝率4,登番5,勝率5,登番6,勝率6
20260626,01,1,5212,6.15,4131,6.34,3517,5.89,4596,5.87,3947,4.36,4152,5.25
20260626,01,2,4457,4.78,4299,4.58,4475,6.07,4258,4.96,4403,6.31,4188,7.58
20260626,01,3,3793,4.2,4631,4.81,5076,5.36,3514,6.02,4468,6.61,4308,6.87
20260626,01,4,3616,4.81,4757,6.96,5239,4.86,5145,6.07,5289,5.87,4376,5.73
20260626,01,5,4740,4.63,4114,5.27,4276,5.88,4736,6.94,3304,5.9,4960,7.78
20260626,01,6,3909,6.63,3947,4.36,4216,4.66,4457,4.78,4508,5.17,4151,5.13
20260626,01,7,4839,5.79,4474,5.56,3997,6.45,3619,4.96,5212,6.15,5076,5.36
20260626,01,8,4596,5.87,5269,5.42,5133,5.71,4299,4.58,4357,6.93,4918,5.06
20260626,01,9,5289,5.87,4475,6.07,4695,5.76,4688,6.79,4259,5.65,3532,5.96
20260626,01,10,3517,5.89,4188,7.58,3909,6.63,4114,5.27,4376,5.73,4631,4.81
20260626,01,11,4736,6.94,4308,6.87,4839,5.79,5239,4.86,4258,4.96,4131,6.34
20260626,01,12,4468,6.61,4960,7.78,5269,5.42,4403,6.31,4474,5.56,5145,6.07
20260626,03,1,4995,4.65,4632,4.84,4202,4.75,5364,2.53,3602,3.89,3775,3.91
20260626,03,2,3850,4.54,4723,4.9,4407,4.99,4245,4.37,4388,5.86,4082,5.73
20260626,03,3,4875,5.09,3808,4.21,5236,3.95,4917,4.42,4619,4.98,4735,4.13
20260626,03,4,4729,3.86,3685,5.82,5070,3.43,4084,6.6,5374,2.59,4660,4.18
20260626,03,5,3929,4.22,5115,5.19,4598,5.15,4550,5.27,5279,5.39,5364,2.53
20260626,03,6,3584,5.09,3975,5.78,3850,4.54,4159,6.29,4995,4.65,4318,5.64
20260626,03,7,4202,4.75,4465,4.62,4161,5.31,4735,4.13,4093,4.33,4677,6.09
20260626,03,8,3973,4.12,3775,3.91,4077,5.97,5374,2.59,5236,3.95,4748,6.49
20260626,03,9,4619,4.98,4084,6.6,5279,5.39,4486,5.64,4082,5.73,4632,4.84
20260626,03,10,4159,6.29,4245,4.37,3685,5.82,4750,5.32,4644,6.26,4952,4.38
20260626,03,11,4388,5.86,3690,4.97,3929,4.22,4875,5.09,3907,5.21,4465,4.62
20260626,03,12,4598,5.15,3934,4.78,4729,3.86,4438,4.98,4677,6.09,3975,5.78
20260626,04,1,5361,2.67,4897,3.77,3839,3.29,4181,3.69,4011,5.81,4818,2.92
20260626,04,2,5166,6.06,3838,5.57,4020,4.43,4462,5.1,4211,3.44,4060,4.35
20260626,04,3,4104,3.8,5017,6.37,4898,4.51,4905,4.48,4348,5.96,5436,1.23
20260626,04,4,4150,5.86,4907,7.0,3769,5.89,4901,5.05,3993,5.29,4323,5.27
20260626,04,5,3731,4.85,4754,6.19,4897,3.77,3542,4.02,4569,4.8,4523,5.67
20260626,04,6,5246,5.25,3349,6.54,5166,6.06,3981,3.93,4818,2.92,3963,5.71
20260626,04,7,4557,4.12,4179,5.57,4911,5.46,4017,5.53,5017,6.37,4462,5.1
20260626,04,8,3993,5.29,5361,2.67,4905,4.48,5034,6.92,4899,4.43,3838,5.57
20260626,04,9,3542,4.02,4607,5.71,4907,7.0,4020,4.43,5436,1.23,3839,3.29
20260626,04,10,3981,3.93,4901,5.05,4181,3.69,4754,6.19,3834,3.73,4348,5.96
20260626,04,11,3349,6.54,4060,4.35,4104,3.8,4911,5.46,4323,5.27,4011,5.81
20260626,04,12,5034,6.92,5246,5.25,4523,5.67,4363,5.78,4557,4.12,3769,5.89
20260626,07,1,5346,2.62,3538,4.24,4664,4.34,4957,5.41,4516,6.58,5399,1.62
20260626,07,2,3704,3.35,5105,4.47,2538,3.45,5286,4.61,5232,4.67,3406,5.16
20260626,07,3,5335,2.23,4665,3.83,5046,3.95,4067,6.3,4240,5.95,4252,4.27
20260626,07,4,3852,4.03,4648,4.94,4739,6.38,5376,5.01,3572,5.0,5245,5.02
20260626,07,5,5268,3.99,5066,7.01,5346,2.62,4953,6.59,5223,4.63,3710,4.69
20260626,07,6,3986,5.0,3870,4.56,4397,7.41,5037,5.36,4467,6.69,4664,4.34
20260626,07,7,4485,5.12,5046,3.95,4857,7.05,4639,4.44,5292,3.99,5472,0.94
20260626,07,8,3613,5.94,4389,5.76,3572,5.0,2538,3.45,3538,4.24,5461,1.06
20260626,07,9,4043,5.79,5335,2.23,5105,4.47,5243,5.31,3852,4.03,3871,4.09
20260626,07,10,4467,6.69,4953,6.59,5286,4.61,4648,4.94,4067,6.3,4957,5.41
20260626,07,11,4739,6.38,4516,6.58,4639,4.44,4397,7.41,5066,7.01,5232,4.67
20260626,07,12,4857,7.05,5376,5.01,3613,5.94,3406,5.16,5037,5.36,4240,5.95
20260626,09,1,3679,6.46,4169,3.73,3566,4.97,4367,4.11,3872,6.15,5466,1.76
20260626,09,2,3277,4.34,5011,3.76,4406,4.07,5313,4.6,3161,4.96,4292,6.37
20260626,09,3,4635,5.43,3441,4.65,4461,4.47,5419,2.02,3557,6.57,3477,3.97
20260626,09,4,3202,4.37,3957,5.09,4374,4.55,4488,6.98,4272,4.92,4270,4.68
20260626,09,5,4140,6.14,3998,4.6,5240,5.23,4281,5.13,5433,1.77,4705,3.54
20260626,09,6,4406,4.07,4213,4.12,5228,5.92,4169,3.73,4351,7.21,3075,4.37
20260626,09,7,3866,4.9,3679,6.46,5011,3.76,5302,3.98,3933,5.7,3467,4.08
20260626,09,8,5290,3.37,3277,4.34,4201,4.22,4272,4.92,5466,1.76,4063,6.31
20260626,09,9,4549,6.01,3161,4.96,4488,6.98,5240,5.23,4808,5.65,4106,3.82
20260626,09,10,4281,5.13,5228,5.92,3557,6.57,4270,4.68,5313,4.6,3566,4.97
20260626,09,11,3872,6.15,3075,4.37,4292,6.37,3998,4.6,4604,7.27,4461,4.47
20260626,09,12,4351,7.21,4140,6.14,3933,5.7,3441,4.65,3957,5.09,4201,4.22
20260626,12,1,5052,4.98,5069,4.61,5367,1.93,5334,2.77,5326,5.36,5406,1.46
20260626,12,2,4878,4.51,3618,6.18,3474,4.35,5320,2.95,5439,1.51,5437,1.44
20260626,12,3,5148,5.58,5088,6.95,4534,4.29,4924,4.76,5365,2.24,5444,1.39
20260626,12,4,5250,4.27,4050,6.84,5173,5.13,4874,5.03,4964,5.61,5435,1.36
