date,jcd,r,登番1,勝率1,登番2,勝率2,登番3,勝率3,登番4,勝率4,登番5,勝率5,登番6,勝率6
20260623,02,1,3302,4.73,4300,5.26,5342,1.6,4987,3.75,5079,4.99,4317,4.27
20260623,02,2,4900,4.29,4714,4.8,4738,5.82,5108,2.72,5373,2.54,5283,2.49
20260623,02,3,5322,2.34,5045,6.5,5297,3.67,4998,4.3,4385,3.73,5213,5.19
20260623,02,4,4501,5.32,5117,4.37,5324,2.36,4974,5.29,5306,2.64,5264,5.08
20260623,02,5,4984,5.04,5003,4.97,4987,3.75,4117,5.88,4300,5.26,5072,2.43
20260623,02,6,4694,3.97,5174,5.16,4791,5.4,4714,4.8,5231,5.62,4045,4.09
20260623,02,7,4963,6.43,5342,1.6,5373,2.54,5079,4.99,5297,3.67,5146,5.65
20260623,02,8,5013,5.5,5108,2.72,4501,5.32,4385,3.73,4746,5.31,5287,3.56
20260623,02,9,5213,5.19,5072,2.43,5306,2.64,5324,2.36,4998,4.3,4984,5.04
20260623,02,10,4974,5.29,4738,5.82,5003,4.97,5045,6.5,5322,2.34,4694,3.97
20260623,02,11,4117,5.88,4791,5.4,5117,4.37,5174,5.16,4900,4.29,4963,6.43
20260623,02,12,3435,6.42,4387,6.78,4642,6.75,4546,6.35,4825,6.7,5155,6.0
20260623,06,1,3987,6.11,5357,1.64,4003,5.6,3896,5.49,5454,1.4,3224,3.77
20260623,06,2,5182,4.92,4327,3.92,3385,5.43,4102,6.42,3333,6.18,5344,4.46
20260623,06,3,3293,3.4,4361,7.17,4012,5.96,4395,5.15,5185,5.24,3548,5.33
20260623,06,4,4208,7.1,5060,5.95,4484,4.68,4023,4.0,3313,4.48,5106,5.41
20260623,06,5,4382,5.06,4478,6.54,3905,6.49,5357,1.64,4356,5.04,4380,4.56
20260623,06,6,4247,5.28,3333,6.18,3502,5.89,4930,5.85,4856,7.07,5454,1.4
20260623,06,7,5366,1.34,5254,4.05,3548,5.33,4019,6.75,3224,3.77,4789,5.82
20260623,06,8,4819,5.58,3293,3.4,4618,5.2,4391,6.43,3987,6.11,4023,4.0
20260623,06,9,4012,5.96,3313,4.48,4903,6.67,3385,5.43,3623,7.55,4003,5.6
20260623,06,10,4737,7.55,4208,7.1,3860,3.79,5182,4.92,4361,7.17,3905,6.49
20260623,06,11,4856,7.07,4102,6.42,3952,6.65,5185,5.24,5060,5.95,4478,6.54
20260623,06,12,4019,6.75,5106,5.41,4391,6.43,4356,5.04,5344,4.46,4930,5.85
20260623,07,1,4665,3.83,4639,4.44,5268,3.99,4252,4.27,5245,5.02,5461,1.06
20260623,07,2,3538,4.24,5292,3.99,4467,6.69,5105,4.47,3704,3.35,3870,4.56
20260623,07,3,3871,4.09,4485,5.12,5046,3.95,5223,4.63,4664,4.34,4739,6.38
20260623,07,4,4648,4.94,4953,6.59,5232,4.67,4240,5.95,2538,3.45,3986,5.0
20260623,07,5,4957,5.41,5037,5.36,5243,5.31,5268,3.99,5399,1.62,3613,5.94
20260623,07,6,3710,4.69,4857,7.05,4252,4.27,4389,5.76,4043,5.79,5472,0.94
20260623,07,7,4067,6.3,3870,4.56,3406,5.16,3852,4.03,5376,5.01,5461,1.06
20260623,07,8,4664,4.34,4397,7.41,5286,4.61,4665,3.83,3572,5.0,5105,4.47
20260623,07,9,4240,5.95,3704,3.35,5335,2.23,3871,4.09,5346,2.62,5399,1.62
20260623,07,10,5066,7.01,4389,5.76,5292,3.99,4516,6.58,4648,4.94,4485,5.12
20260623,07,11,4467,6.69,4043,5.79,5223,4.63,3406,5.16,5037,5.36,4639,4.44
20260623,07,12,4397,7.41,3613,5.94,4739,6.38,4067,6.3,4857,7.05,4953,6.59
