jcd,r,close_time
01,1,15:19
01,2,15:43
01,3,16:07
01,4,16:33
01,5,17:01
01,6,17:29
01,7,17:57
01,8,18:25
01,9,18:54
01,10,19:24
01,11,19:57
01,12,20:30
02,1,10:47
02,2,11:16
02,3,11:45
02,4,12:14
02,5,12:44
02,6,13:14
02,7,13:45
02,8,14:16
02,9,14:48
02,10,15:21
02,11,15:55
02,12,16:30
03,1,11:14
03,2,11:41
03,3,12:08
03,4,12:35
03,5,13:02
03,6,13:29
03,7,13:56
03,8,14:24
03,9,14:52
03,10,15:22
03,11,15:53
03,12,16:25
04,1,10:55
04,2,11:24
04,3,11:53
04,4,12:22
04,5,12:52
04,6,13:22
04,7,13:53
04,8,14:24
04,9,14:56
04,10,15:29
04,11,16:03
04,12,16:38
07,1,15:25
07,2,15:50
07,3,16:19
07,4,16:46
07,5,17:15
07,6,17:44
07,7,18:11
07,8,18:39
07,9,19:09
07,10,19:40
07,11,20:10
07,12,20:40
09,1,10:42
09,2,11:12
09,3,11:42
09,4,12:13
09,5,12:44
09,6,13:15
09,7,13:46
09,8,14:18
09,9,14:50
09,10,15:23
09,11,15:58
09,12,16:35
10,1,08:32
10,2,08:58
10,3,09:24
10,4,09:50
10,5,10:18
10,6,10:50
10,7,11:20
10,8,11:50
10,9,12:25
10,10,12:58
10,11,13:33
10,12,14:11
11,1,10:33
11,2,11:02
11,3,11:34
11,4,12:02
11,5,12:33
11,6,13:06
11,7,13:36
11,8,14:07
11,9,14:39
11,10,15:09
11,11,15:38
11,12,16:14
12,1,15:17
12,2,15:42
12,3,16:11
12,4,16:44
12,5,17:08
12,6,17:37
12,7,18:04
12,8,18:32
12,9,19:02
12,10,19:32
12,11,20:04
12,12,20:35
13,1,10:36
13,2,11:05
13,3,11:37
13,4,12:00
13,5,12:31
13,6,13:10
13,7,13:39
13,8,14:09
13,9,14:37
13,10,15:07
13,11,15:36
13,12,16:09
17,1,10:54
17,2,11:23
17,3,12:11
17,4,12:38
17,5,13:03
17,6,13:31
17,7,14:02
17,8,14:46
17,9,15:15
17,10,15:48
17,11,16:17
17,12,16:49
18,1,08:44
18,2,09:10
18,3,09:36
18,4,10:02
18,5,10:29
18,6,10:59
18,7,11:31
18,8,12:06
18,9,12:41
18,10,13:12
18,11,13:50
18,12,14:30
20,1,15:27
20,2,16:01
20,3,16:27
20,4,16:54
20,5,17:20
20,6,17:51
20,7,18:18
20,8,18:46
20,9,19:16
20,10,19:48
20,11,20:16
20,12,20:45
22,1,11:48
22,2,12:18
22,3,12:49
22,4,13:25
22,5,13:58
22,6,14:27
22,7,15:01
22,8,15:31
22,9,15:56
22,10,16:23
22,11,16:51
22,12,17:26
