登録番号,更新日,1コース_進入率,1コース_1着率,1コース_2着率,1コース_3着率,1コース_平均ST,1コース_ST順,2コース_進入率,2コース_1着率,2コース_2着率,2コース_3着率,2コース_平均ST,2コース_ST順,3コース_進入率,3コース_1着率,3コース_2着率,3コース_3着率,3コース_平均ST,3コース_ST順,4コース_進入率,4コース_1着率,4コース_2着率,4コース_3着率,4コース_平均ST,4コース_ST順,5コース_進入率,5コース_1着率,5コース_2着率,5コース_3着率,5コース_平均ST,5コース_ST順,6コース_進入率,6コース_1着率,6コース_2着率,6コース_3着率,6コース_平均ST,6コース_ST順
3277,2026-06-20,16.7,26.3,15.8,21.1,0.15,3.4,18.4,9.5,19.0,19.0,0.18,4.0,21.1,4.2,16.7,25.0,0.19,3.7,13.2,6.7,20.0,6.7,0.17,3.4,14.0,6.2,6.2,0.0,0.16,3.4,16.7,15.8,0.0,0.0,0.17,3.5
3282,2026-06-20,12.9,33.3,16.7,0.0,0.18,3.5,17.2,18.8,25.0,0.0,0.2,3.5,19.4,27.8,16.7,0.0,0.19,3.6,18.3,11.8,23.5,0.0,0.22,3.9,19.4,16.7,0.0,0.0,0.21,4.5,12.9,16.7,0.0,0.0,0.24,5.2
3293,2026-06-20,15.0,20.0,13.3,40.0,0.19,3.6,19.0,26.3,26.3,0.0,0.19,4.4,16.0,6.2,12.5,0.0,0.2,4.2,16.0,6.2,43.8,0.0,0.21,4.3,22.0,13.6,22.7,0.0,0.2,3.8,12.0,8.3,8.3,0.0,0.19,3.8
3294,2026-06-20,16.2,35.3,35.3,11.8,0.17,3.2,15.2,18.8,12.5,12.5,0.18,3.9,20.0,4.8,14.3,19.0,0.17,2.8,13.3,7.1,14.3,14.3,0.12,2.7,16.2,11.8,5.9,11.8,0.11,2.1,19.0,5.0,25.0,0.0,0.12,2.4
3302,2026-06-20,15.3,18.2,36.4,18.2,0.19,3.3,16.7,16.7,8.3,0.0,0.15,3.3,16.7,25.0,33.3,0.0,0.18,2.8,16.7,16.7,8.3,8.3,0.15,2.0,22.2,6.2,12.5,0.0,0.18,3.7,12.5,22.2,0.0,0.0,0.21,4.1
3313,2026-06-20,16.2,23.5,17.6,5.9,0.2,3.1,19.0,25.0,15.0,0.0,0.15,3.4,14.3,13.3,13.3,6.7,0.19,3.4,16.2,5.9,5.9,17.6,0.19,3.8,18.1,5.3,0.0,0.0,0.2,3.7,16.2,0.0,0.0,0.0,0.19,4.0
3319,2026-06-20,15.4,16.7,16.7,8.3,0.2,4.3,15.4,16.7,25.0,0.0,0.18,4.1,15.4,16.7,25.0,33.3,0.17,3.8,24.4,5.3,21.1,21.1,0.14,2.7,16.7,15.4,30.8,0.0,0.16,2.8,12.8,10.0,30.0,0.0,0.17,4.7
3333,2026-06-20,20.4,50.0,32.1,10.7,0.13,2.8,20.4,10.7,35.7,17.9,0.15,2.9,16.8,17.4,13.0,34.8,0.14,3.0,15.3,9.5,9.5,28.6,0.13,2.7,13.9,21.1,31.6,0.0,0.16,2.9,13.1,5.6,33.3,0.0,0.16,3.8
3352,2026-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3.0,11.1,25.3,0.17,3.5
3353,2026-06-20,12.8,16.7,33.3,33.3,0.16,4.3,17.0,12.5,25.0,12.5,0.19,3.3,19.1,11.1,33.3,0.0,0.14,2.8,17.0,25.0,12.5,0.0,0.11,1.2,19.1,11.1,11.1,0.0,0.15,2.3,14.9,14.3,0.0,0.0,0.26,4.9
3372,2026-06-20,13.1,9.1,27.3,18.2,0.19,4.5,17.9,13.3,20.0,0.0,0.21,4.6,17.9,6.7,13.3,0.0,0.2,4.5,22.6,15.8,26.3,0.0,0.22,4.5,15.5,7.7,0.0,0.0,0.22,5.1,13.1,9.1,0.0,0.0,0.23,4.7
3377,2026-06-20,15.1,7.7,23.1,7.7,0.21,4.8,15.1,7.7,7.7,0.0,0.2,4.5,18.6,6.2,25.0,6.2,0.17,4.0,15.1,7.7,15.4,0.0,0.17,3.3,19.8,5.9,17.6,0.0,0.17,3.6,16.3,21.4,0.0,0.0,0.2,3.6
3381,2026-06-20,16.7,30.0,15.0,15.0,0.16,3.2,18.3,18.2,18.2,0.0,0.15,3.2,18.3,13.6,18.2,13.6,0.14,2.6,20.8,24.0,24.0,20.0,0.14,2.5,15.8,5.3,21.1,0.0,0.15,2.8,10.0,8.3,8.3,0.0,0.13,2.9
3385,2026-06-20,20.4,52.4,33.3,0.0,0.17,2.9,17.5,5.6,44.4,22.2,0.15,3.5,14.6,40.0,40.0,0.0,0.15,3.0,17.5,5.6,22.2,27.8,0.17,3.3,16.5,5.9,23.5,0.0,0.19,3.7,13.6,7.1,14.3,0.0,0.17,3.9
3388,2026-06-20,20.4,72.7,9.1,4.5,0.15,3.6,13.9,20.0,6.7,20.0,0.16,3.9,10.2,9.1,18.2,18.2,0.16,3.5,28.7,19.4,19.4,22.6,0.12,2.8,18.5,5.0,15.0,10.0,0.17,3.2,8.3,11.1,11.1,0.0,0.21,4.9
3392,2026-06-20,12.6,25.0,25.0,0.0,0.2,3.8,17.9,11.8,23.5,0.0,0.18,3.9,18.9,22.2,11.1,0.0,0.18,3.9,17.9,17.6,11.8,0.0,0.16,4.6,17.9,23.5,0.0,0.0,0.18,4.4,14.7,7.1,14.3,0.0,0.21,4.9
3412,2026-06-20,19.7,69.2,7.7,7.7,0.15,2.7,14.4,15.8,26.3,15.8,0.19,3.6,18.2,8.3,16.7,41.7,0.17,3.3,19.7,15.4,23.1,23.1,0.17,3.7,9.1,16.7,25.0,33.3,0.17,3.3,18.9,4.0,12.0,16.0,0.13,2.8
3419,2026-06-20,22.2,0.0,0.0,0.0,0.18,3.5,22.2,0.0,0.0,0.0,0.18,3.0,11.1,0.0,0.0,0.0,0.23,4.0,22.2,0.0,0.0,0.0,0.18,5.5,22.2,0.0,0.0,0.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3430,2026-06-20,13.3,33.3,46.7,6.7,0.14,3.1,18.6,19.0,9.5,14.3,0.19,3.9,18.6,9.5,19.0,14.3,0.19,3.9,21.2,4.2,8.3,8.3,0.16,3.7,16.8,5.3,5.3,10.5,0.16,3.8,11.5,0.0,0.0,0.0,0.19,4.5
3432,2026-06-20,16.9,30.0,35.0,15.0,0.14,2.9,16.1,5.3,36.8,21.1,0.14,2.2,16.9,30.0,15.0,0.0,0.15,2.9,21.2,4.0,24.0,0.0,0.15,3.4,16.1,21.1,0.0,0.0,0.18,3.5,12.7,6.7,6.7,0.0,0.21,4.9
3434,2026-06-20,17.0,38.9,11.1,16.7,0.18,4.0,18.9,30.0,20.0,0.0,0.18,3.7,14.2,6.7,20.0,26.7,0.16,3.5,17.0,5.6,16.7,16.7,0.16,3.2,17.9,10.5,21.1,10.5,0.15,3.3,15.1,12.5,0.0,0.0,0.21,4.4
3435,2026-06-20,23.5,65.6,15.6,9.4,0.14,3.2,14.0,15.8,26.3,15.8,0.2,3.7,14.7,10.0,30.0,40.0,0.17,3.5,19.9,18.5,18.5,22.2,0.15,3.1,16.9,4.3,26.1,30.4,0.15,3.1,11.0,20.0,13.3,0.0,0.18,3.8
3436,2026-06-20,18.1,63.2,15.8,5.3,0.09,1.7,18.1,21.1,26.3,10.5,0.12,1.8,20.0,9.5,28.6,9.5,0.1,2.1,13.3,14.3,21.4,14.3,0.12,2.5,19.0,10.0,10.0,25.0,0.11,1.9,11.4,8.3,16.7,0.0,0.17,2.7
3442,2026-06-20,13.4,35.3,23.5,23.5,0.13,3.0,17.3,31.8,18.2,0.0,0.16,2.9,17.3,4.5,31.8,13.6,0.14,3.1,18.9,20.8,20.8,0.0,0.16,3.4,16.5,9.5,14.3,0.0,0.17,3.0,16.5,9.5,23.8,0.0,0.17,4.1
3454,2026-06-20,15.4,31.2,31.2,12.5,0.16,2.9,15.4,6.2,18.8,31.2,0.15,2.8,19.2,5.0,15.0,40.0,0.13,2.1,16.3,29.4,17.6,0.0,0.12,2.9,18.3,10.5,10.5,21.1,0.12,3.1,15.4,12.5,0.0,0.0,0.22,4.6
3458,2026-06-20,12.3,23.1,23.1,7.7,0.14,3.1,18.9,5.0,10.0,10.0,0.15,3.0,18.9,5.0,20.0,10.0,0.15,3.0,17.9,5.3,10.5,10.5,0.17,3.1,17.9,15.8,21.1,0.0,0.16,3.6,14.2,0.0,0.0,0.0,0.18,3.9
3459,2026-06-20,14.7,14.3,35.7,0.0,0.18,3.2,15.8,13.3,6.7,0.0,0.19,3.7,18.9,16.7,11.1,0.0,0.17,3.1,16.8,25.0,6.2,6.2,0.15,2.4,14.7,7.1,0.0,0.0,0.16,3.0,18.9,11.1,0.0,0.0,0.19,4.1
3463,2026-06-20,17.2,6.7,46.7,0.0,0.2,4.6,14.9,15.4,30.8,0.0,0.18,4.5,16.1,7.1,14.3,21.4,0.18,3.9,23.0,25.0,20.0,0.0,0.18,3.6,18.4,12.5,18.8,0.0,0.21,4.8,10.3,11.1,22.2,0.0,0.26,5.6
3473,2026-06-20,41.3,49.1,17.5,10.5,0.14,2.4,52.9,16.4,21.9,21.9,0.13,2.6,5.8,37.5,25.0,0.0,0.17,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3474,2026-06-20,17.8,21.1,36.8,10.5,0.18,3.1,17.8,10.5,42.1,10.5,0.16,3.8,17.8,36.8,15.8,0.0,0.16,2.3,17.8,5.3,15.8,31.6,0.16,3.4,16.8,11.1,27.8,0.0,0.18,3.9,12.1,15.4,15.4,0.0,0.19,3.6
3482,2026-06-20,15.8,45.5,31.8,13.6,0.16,3.0,17.3,16.7,25.0,25.0,0.16,3.5,16.5,8.7,30.4,17.4,0.14,2.6,18.0,4.0,16.0,32.0,0.17,3.1,15.1,14.3,19.0,14.3,0.14,3.0,17.3,4.2,16.7,29.2,0.18,3.8
3484,2026-06-20,19.8,52.9,23.5,5.9,0.14,2.7,15.1,15.4,30.8,23.1,0.15,3.0,17.4,6.7,20.0,40.0,0.16,3.0,19.8,5.9,29.4,23.5,0.16,3.6,17.4,20.0,0.0,0.0,0.17,3.3,10.5,22.2,11.1,0.0,0.2,5.0
3502,2026-06-20,19.8,37.5,37.5,8.3,0.18,3.5,14.9,11.1,27.8,44.4,0.19,3.7,19.8,12.5,8.3,37.5,0.17,3.3,19.8,8.3,20.8,16.7,0.16,3.5,22.3,18.5,14.8,0.0,0.18,3.7,3.3,0.0,0.0,0.0,0.21,4.8
3503,2026-06-20,15.3,41.2,5.9,11.8,0.17,4.2,17.1,10.5,26.3,21.1,0.16,3.1,17.1,5.3,26.3,10.5,0.16,3.2,17.1,15.8,21.1,0.0,0.15,2.6,18.9,9.5,9.5,0.0,0.14,3.2,14.4,6.2,0.0,0.0,0.19,4.4
3516,2026-06-20,18.3,26.3,42.1,10.5,0.15,2.7,16.3,29.4,17.6,0.0,0.15,3.2,17.3,16.7,11.1,5.6,0.18,3.3,18.3,21.1,15.8,0.0,0.17,3.9,13.5,7.1,35.7,0.0,0.16,2.6,16.3,23.5,0.0,0.0,0.19,3.8
3527,2026-06-20,18.1,47.8,21.7,13.0,0.15,2.3,16.5,9.5,33.3,23.8,0.17,3.1,15.7,10.0,25.0,20.0,0.16,2.5,16.5,4.8,14.3,23.8,0.15,2.7,17.3,13.6,27.3,0.0,0.15,3.3,15.7,5.0,10.0,15.0,0.16,4.0
3535,2026-06-20,12.4,46.2,15.4,7.7,0.17,4.4,17.1,11.1,16.7,33.3,0.18,4.3,20.0,4.8,9.5,23.8,0.2,4.1,19.0,15.0,20.0,10.0,0.16,3.4,18.1,15.8,21.1,0.0,0.19,3.6,13.3,0.0,0.0,0.0,0.21,4.3
3542,2026-06-20,18.3,30.0,20.0,10.0,0.17,3.5,62.4,5.9,10.3,22.1,0.19,3.9,12.8,14.3,0.0,0.0,0.21,3.3,4.6,0.0,0.0,0.0,0.23,5.0,1.8,0.0,0.0,0.0,0.2,5.5,0.0,0.0,0.0,0.0,0.0,0.0
3544,2026-06-20,13.9,20.0,0.0,0.0,0.22,5.0,19.4,14.3,0.0,0.0,0.18,3.9,11.1,25.0,0.0,0.0,0.23,4.8,22.2,12.5,12.5,12.5,0.21,4.5,22.2,12.5,12.5,0.0,0.2,3.0,11.1,0.0,0.0,0.0,0.25,5.0
3548,2026-06-20,20.0,48.1,29.6,7.4,0.1,1.9,16.3,18.2,18.2,31.8,0.13,2.2,14.1,15.8,57.9,0.0,0.11,2.1,17.0,13.0,13.0,17.4,0.12,2.3,20.0,11.1,7.4,25.9,0.12,2.3,12.6,17.6,23.5,0.0,0.13,2.8
3562,2026-06-20,21.3,53.3,20.0,13.3,0.17,3.0,22.0,16.1,29.0,25.8,0.19,3.8,13.5,5.3,31.6,15.8,0.16,2.7,20.6,17.2,27.6,20.7,0.14,2.8,10.6,13.3,33.3,6.7,0.13,2.9,12.1,5.9,11.8,0.0,0.18,3.7
3563,2026-06-20,20.9,54.2,20.8,8.3,0.15,2.6,19.1,9.1,18.2,27.3,0.16,3.5,25.2,17.2,17.2,10.3,0.16,2.8,20.0,8.7,13.0,17.4,0.18,3.5,11.3,7.7,23.1,0.0,0.15,3.1,3.5,0.0,0.0,0.0,0.19,4.3
3566,2026-06-20,13.9,26.7,26.7,20.0,0.17,3.9,20.4,13.6,22.7,27.3,0.17,4.2,16.7,11.1,11.1,27.8,0.17,3.9,22.2,4.2,16.7,25.0,0.19,4.2,13.9,6.7,13.3,0.0,0.19,4.4,13.0,7.1,21.4,0.0,0.2,4.9
