登録番号,更新日,1コース_進入率,1コース_1着率,1コース_2着率,1コース_3着率,1コース_平均ST,1コース_ST順,2コース_進入率,2コース_1着率,2コース_2着率,2コース_3着率,2コース_平均ST,2コース_ST順,3コース_進入率,3コース_1着率,3コース_2着率,3コース_3着率,3コース_平均ST,3コース_ST順,4コース_進入率,4コース_1着率,4コース_2着率,4コース_3着率,4コース_平均ST,4コース_ST順,5コース_進入率,5コース_1着率,5コース_2着率,5コース_3着率,5コース_平均ST,5コース_ST順,6コース_進入率,6コース_1着率,6コース_2着率,6コース_3着率,6コース_平均ST,6コース_ST順
3895,2026-06-21,12.9,22.2,22.2,22.2,0.2,3.6,18.6,7.7,0.0,0.0,0.18,4.1,21.4,13.3,20.0,13.3,0.18,3.1,20.0,7.1,7.1,14.3,0.15,2.7,17.1,8.3,8.3,0.0,0.21,3.8,10.0,0.0,0.0,0.0,0.17,4.3
3896,2026-06-21,18.1,53.8,15.4,15.4,0.14,2.7,18.1,53.8,0.0,0.0,0.19,3.7,9.7,57.1,42.9,0.0,0.17,3.6,23.6,5.9,5.9,17.6,0.18,3.2,15.3,36.4,0.0,0.0,0.13,3.2,15.3,18.2,0.0,0.0,0.19,4.3
3898,2026-06-21,19.1,68.0,16.0,8.0,0.13,2.1,17.6,8.7,52.2,13.0,0.14,4.0,18.3,29.2,41.7,8.3,0.13,3.0,14.5,21.1,15.8,21.1,0.16,3.2,12.2,12.5,18.8,43.8,0.12,2.9,18.3,20.8,33.3,0.0,0.15,3.3
3156,2026-06-21,18.0,27.8,16.7,16.7,0.15,3.3,30.0,6.7,13.3,13.3,0.17,3.6,24.0,4.2,8.3,12.5,0.14,3.3,17.0,5.9,5.9,0.0,0.17,3.4,4.0,0.0,0.0,0.0,0.16,3.8,7.0,0.0,0.0,0.0,0.23,5.1
3207,2026-06-21,17.1,25.0,16.7,0.0,0.15,3.5,18.6,15.4,0.0,0.0,0.2,4.7,17.1,16.7,8.3,0.0,0.19,3.5,15.7,9.1,9.1,18.2,0.18,3.2,17.1,8.3,8.3,0.0,0.14,3.3,14.3,10.0,0.0,0.0,0.14,3.5
3232,2026-06-21,17.3,50.0,27.8,11.1,0.14,2.9,17.3,5.6,44.4,38.9,0.17,3.2,19.2,5.0,15.0,35.0,0.17,2.8,17.3,16.7,27.8,0.0,0.16,3.6,16.3,5.9,17.6,29.4,0.14,3.2,12.5,7.7,7.7,0.0,0.18,4.1
3233,2026-06-21,15.8,33.3,27.8,22.2,0.18,3.6,19.3,13.6,18.2,22.7,0.14,2.8,20.2,4.3,13.0,34.8,0.16,3.1,13.2,6.7,13.3,26.7,0.15,3.3,17.5,5.0,15.0,15.0,0.17,3.6,14.0,12.5,12.5,0.0,0.21,4.3
3297,2026-06-21,14.1,28.6,14.3,35.7,0.18,4.0,31.3,6.5,16.1,16.1,0.19,4.1,36.4,8.3,5.6,33.3,0.18,3.7,16.2,12.5,12.5,6.2,0.17,3.4,2.0,0.0,0.0,0.0,0.14,4.5,0.0,0.0,0.0,0.0,0.0,0.0
3303,2026-06-21,16.7,26.3,21.1,10.5,0.19,3.9,19.3,4.5,27.3,27.3,0.2,5.0,14.9,5.9,5.9,17.6,0.16,4.1,17.5,20.0,15.0,0.0,0.19,4.3,19.3,22.7,18.2,0.0,0.23,4.7,12.3,7.1,0.0,0.0,0.22,5.1
3305,2026-06-21,16.8,47.1,17.6,5.9,0.18,4.1,17.8,11.1,11.1,16.7,0.18,3.4,17.8,27.8,11.1,0.0,0.17,3.3,16.8,11.8,17.6,0.0,0.14,3.2,14.9,13.3,13.3,0.0,0.19,3.2,15.8,0.0,0.0,0.0,0.18,4.1
